src_ip,user,info
10.56.112.16,LBUZ\oxstxjjr,STATUS_LOGON_SUCCESS
10.56.115.125,LBUZ\mrwthdbxjo,STATUS_LOGON_SUCCESS
10.56.115.8,LBUZ\thxjgbhxr,STATUS_LOGON_SUCCESS
10.56.141.34,LBUZ\NCEYIOIO-A9$,STATUS_LOGON_SUCCESS
10.56.141.34,LBUZ\cxjotrtr,STATUS_LOGON_SUCCESS
10.56.148.162,LBUZ\osjogbhs,STATUS_LOGON_SUCCESS
10.56.187.101,LBUZ\vbxjoprxerj,STATUS_LOGON_SUCCESS
10.56.193.37,LBUZ\TBEYDKOIJW-T9$,STATUS_LOGON_SUCCESS
10.56.193.37,LBUZ\fsjogbrthw,STATUS_LOGON_SUCCESS
10.56.232.215,LBUZ\yrxjnrxjo,STATUS_LOGON_SUCCESS
10.56.252.179,LBUZ\YJBLKWEYJCEY-T9$,STATUS_LOGON_SUCCESS
10.56.34.157,LBUZ\nrmrxjo-g,STATUS_LOGON_SUCCESS
10.56.63.223,LBUZ\IJCEIJCE-A9$,STATUS_LOGON_SUCCESS
10.56.63.223,LBUZ\thxjthxj-o,STATUS_LOGON_SUCCESS
10.56.68.148,LBUZ\cwrprjojrjo,STATUS_LOGON_SUCCESS
10.56.92.20,LBUZ\bhmrxsnrxjo-rlr,STATUS_LOGON_SUCCESS
10.60.26.66,LBUZ\PWEYVOFJCE-T9$,STATUS_LOGON_FAILURE
