src_ip,user,info
10.54.1.211,LBUZ\AOJGB-DCA-T9$,STATUS_LOGON_SUCCESS
10.54.115.250,LBUZ\VOBEYVOCBTBEY-A$,STATUS_LOGON_SUCCESS
10.54.48.35,LBUZ\nrhzxr-rlr,STATUS_LOGON_SUCCESS
10.54.52.246,LBUZ\XOCFOCE-A9$,STATUS_LOGON_SUCCESS
10.54.53.0,LBUZ\VOCBXJEVOCEY-Tq$,STATUS_LOGON_SUCCESS
10.54.69.1,LBUZ\AOQOE-OUO-Tq$,STATUS_LOGON_SUCCESS
10.54.69.1,LBUZ\ghjlhrdbhxj,STATUS_LOGON_SUCCESS
10.56.115.254,LBUZ\bshyrjo,STATUS_LOGON_SUCCESS
10.56.115.84,LBUZ\excwr,STATUS_LOGON_SUCCESS
10.56.131.163,LBUZ\nrhbhrtsjo,STATUS_LOGON_SUCCESS
10.56.141.34,LBUZ\NCEYIOIO-A9$,STATUS_LOGON_SUCCESS
10.56.141.34,LBUZ\cxjotrtr,STATUS_LOGON_SUCCESS
10.56.144.126,LBUZ\ghmhj,STATUS_LOGON_SUCCESS
10.56.148.162,LBUZ\osjogbhs,STATUS_LOGON_SUCCESS
10.56.148.238,LBUZ\vbwjothj,STATUS_LOGON_SUCCESS
10.56.185.220,LBUZ\txjozhj-gxn,STATUS_LOGON_SUCCESS
10.56.187.25,LBUZ\MCEYXOEYDKWEY-A$,STATUS_LOGON_SUCCESS
10.56.193.37,LBUZ\fsjogbrthw,STATUS_LOGON_SUCCESS
10.56.21.153,LBUZ\nrhprxjmrj,STATUS_LOGON_SUCCESS
10.56.60.192,LBUZ\bxjthnxj,STATUS_LOGON_SUCCESS
10.56.63.223,LBUZ\thxjthxj-o,STATUS_LOGON_SUCCESS
10.56.68.148,LBUZ\cwrprjojrjo,STATUS_LOGON_SUCCESS
10.60.26.66,LBUZ\PWEYVOFJCE-T9$,STATUS_LOGON_FAILURE
