src_ip,user,info
10.54.1.211,LBUZ\QCIOEY-Y-A9$,STATUS_LOGON_SUCCESS
10.54.113.190,LBUZ\vbsjoprjodbwj,STATUS_LOGON_SUCCESS
10.54.115.250,LBUZ\ICEYIJ-Y-T5$,STATUS_LOGON_SUCCESS
10.54.115.250,\,STATUS_LOGON_SUCCESS
10.54.149.134,LBUZ\ghjdbh3wjo,STATUS_LOGON_SUCCESS
10.54.160.126,LBUZ\PKCEYLKO-JWT-T9$,STATUS_LOGON_SUCCESS
10.54.174.229,LBUZ\VOWAOEYIJE-Tq$,STATUS_LOGON_SUCCESS
10.54.197.246,LBUZ\X-PKJKCB-T5$,STATUS_LOGON_SUCCESS
10.54.250.139,LBUZ\AOJXOE-T9$,STATUS_LOGON_SUCCESS
10.54.250.139,LBUZ\NJVJZWEY-A5$,STATUS_LOGON_FAILURE
10.54.27.106,LBUZ\dxsgbhth,STATUS_LOGON_SUCCESS
10.54.32.50,LBUZ\AOXOELKCB-T-A9$,STATUS_LOGON_SUCCESS
10.54.53.0,LBUZ\ZWEYHWSWO-A9$,STATUS_LOGON_SUCCESS
10.56.112.16,\,STATUS_LOGON_SUCCESS
10.56.115.19,LBUZ\dbwjyxrbh,STATUS_LOGON_SUCCESS
10.56.115.254,LBUZ\bshyrjo,STATUS_LOGON_SUCCESS
10.56.115.74,LBUZ\cxjoiwjo-3f,STATUS_LOGON_SUCCESS
10.56.131.163,\,STATUS_LOGON_SUCCESS
10.56.141.34,LBUZ\NCEYIOIO-A9$,STATUS_LOGON_SUCCESS
10.56.207.87,LBUZ\vbxsphj,STATUS_LOGON_SUCCESS
10.56.21.153,LBUZ\nrhprxjmrj,STATUS_LOGON_SUCCESS
10.56.4.86,\,STATUS_LOGON_SUCCESS
10.56.47.250,LBUZ\bhmrxsthw,STATUS_LOGON_SUCCESS
10.56.63.184,LBUZ\ewjolxj,STATUS_LOGON_SUCCESS
10.56.63.223,LBUZ\IJCEIJCE-A9$,STATUS_LOGON_SUCCESS
10.56.63.223,\,STATUS_LOGON_SUCCESS
10.56.68.165,LBUZ\KCEVOCBQCE-Tq$,STATUS_LOGON_SUCCESS
10.60.26.66,LBUZ\PWEYVOFJCE-T9$,STATUS_LOGON_FAILURE
