src_ip,user,info
10.56.115.125,LBUZ\mrwthdbxjo,STATUS_LOGON_SUCCESS
10.56.115.19,LBUZ\dbwjyxrbh,STATUS_LOGON_SUCCESS
10.56.115.254,LBUZ\bshyrjo,STATUS_LOGON_SUCCESS
10.56.115.74,LBUZ\NCEYSWEY-ZT-A9$,STATUS_LOGON_SUCCESS
10.56.141.34,LBUZ\NCEYIOIO-A9$,STATUS_LOGON_SUCCESS
10.56.148.162,LBUZ\osjogbhs,STATUS_LOGON_SUCCESS
10.56.148.217,LBUZ\vbxsthmrxjo,STATUS_LOGON_SUCCESS
10.56.187.25,LBUZ\MCEYXOEYDKWEY-A$,STATUS_LOGON_SUCCESS
10.56.232.215,LBUZ\yrxjnrxjo,STATUS_LOGON_SUCCESS
10.56.4.86,LBUZ\PKJXOCEY-T9$,STATUS_LOGON_SUCCESS
10.56.47.250,LBUZ\bhmrxsthw,STATUS_LOGON_SUCCESS
10.56.98.166,LBUZ\trjtxjtxj,STATUS_LOGON_SUCCESS
