,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,56
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,610
25,12_1,592
26,12_10,553
27,12_11,597
28,12_12,614
29,12_13,574
30,12_14,601
31,12_15,611
32,12_16,572
33,12_17,598
34,12_18,560
35,12_19,638
36,12_2,590
37,12_20,598
38,12_21,635
39,12_22,636
40,12_23,572
41,12_3,607
42,12_4,641
43,12_5,617
44,12_6,623
45,12_7,582
46,12_8,581
47,12_9,645
48,13_0,602
49,13_1,540
50,13_10,603
51,13_11,600
52,13_12,606
53,13_13,551
54,13_14,601
55,13_15,615
56,13_16,627
57,13_17,604
58,13_18,617
59,13_19,599
60,13_2,623
61,13_20,589
62,13_21,629
63,13_22,634
64,13_23,599
65,13_3,585
66,13_4,596
67,13_5,607
68,13_6,643
69,13_7,614
70,13_8,629
71,13_9,614
72,14_0,590
73,14_1,615
74,14_10,616
75,14_11,596
76,14_12,614
77,14_13,632
78,14_14,609
79,14_15,629
80,14_16,555
81,14_17,597
82,14_18,625
83,14_19,629
84,14_2,578
85,14_20,572
86,14_21,625
87,14_22,612
88,14_23,645
89,14_3,601
90,14_4,609
91,14_5,638
92,14_6,578
93,14_7,611
94,14_8,596
95,14_9,616
96,15_0,630
97,15_1,641
98,15_10,621
99,15_11,542
100,15_12,609
101,15_13,561
102,15_14,607
103,15_15,585
104,15_16,575
105,15_17,614
106,15_18,595
107,15_19,610
108,15_2,564
109,15_20,582
110,15_21,592
111,15_22,614
112,15_23,588
113,15_3,573
114,15_4,623
115,15_5,632
116,15_6,624
117,15_7,612
118,15_8,639
119,15_9,616
120,16_0,611
121,16_1,571
122,16_10,579
123,16_11,552
124,16_12,593
125,16_13,579
126,16_14,616
127,16_15,573
128,16_16,594
129,16_17,574
130,16_18,601
131,16_19,575
132,16_2,557
133,16_20,608
134,16_21,583
135,16_22,591
136,16_23,632
137,16_3,598
138,16_4,592
139,16_5,616
140,16_6,601
141,16_7,589
142,16_8,560
143,16_9,560
144,17_0,603
145,17_1,631
146,17_10,613
147,17_11,606
148,17_12,601
149,17_13,656
150,17_14,570
151,17_15,592
152,17_16,627
153,17_17,588
154,17_18,605
155,17_19,556
156,17_2,640
157,17_20,660
158,17_21,636
159,17_22,629
160,17_23,606
161,17_3,567
162,17_4,555
163,17_5,603
164,17_6,619
165,17_7,612
166,17_8,647
167,17_9,683
168,18_0,600
169,18_1,615
170,18_10,631
171,18_11,634
172,18_12,633
173,18_13,588
174,18_14,632
175,18_15,609
176,18_16,585
177,18_17,620
178,18_18,594
179,18_19,585
180,18_2,603
181,18_20,580
182,18_21,703
183,18_22,575
184,18_23,505
185,18_3,604
186,18_4,610
187,18_5,595
188,18_6,644
189,18_7,657
190,18_8,599
191,18_9,604
