,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,0
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,0
25,12_1,2
26,12_10,1
27,12_11,0
28,12_12,1
29,12_13,0
30,12_14,1
31,12_15,2
32,12_16,9
33,12_17,4
34,12_18,1
35,12_19,1
36,12_2,0
37,12_20,1
38,12_21,3
39,12_22,0
40,12_23,0
41,12_3,20
42,12_4,3
43,12_5,23
44,12_6,1
45,12_7,4
46,12_8,0
47,12_9,1
48,13_0,5
49,13_1,2
50,13_10,4
51,13_11,3
52,13_12,5
53,13_13,4
54,13_14,1
55,13_15,1
56,13_16,0
57,13_17,1
58,13_18,0
59,13_19,7
60,13_2,14
61,13_20,1
62,13_21,1
63,13_22,1
64,13_23,1
65,13_3,5
66,13_4,8
67,13_5,3
68,13_6,111
69,13_7,10
70,13_8,7
71,13_9,3
72,14_0,11
73,14_1,4
74,14_10,0
75,14_11,5
76,14_12,6
77,14_13,2
78,14_14,8
79,14_15,7
80,14_16,3
81,14_17,15
82,14_18,5
83,14_19,4
84,14_2,1
85,14_20,1
86,14_21,0
87,14_22,2
88,14_23,2
89,14_3,4
90,14_4,8
91,14_5,4
92,14_6,6
93,14_7,1
94,14_8,2
95,14_9,5
96,15_0,6
97,15_1,1
98,15_10,0
99,15_11,3
100,15_12,0
101,15_13,1
102,15_14,2
103,15_15,3
104,15_16,10
105,15_17,2
106,15_18,1
107,15_19,2
108,15_2,2
109,15_20,0
110,15_21,0
111,15_22,2
112,15_23,1
113,15_3,0
114,15_4,0
115,15_5,1
116,15_6,114
117,15_7,80
118,15_8,11
119,15_9,1
120,16_0,3
121,16_1,0
122,16_10,4
123,16_11,0
124,16_12,2
125,16_13,0
126,16_14,1
127,16_15,1
128,16_16,1
129,16_17,2
130,16_18,1
131,16_19,0
132,16_2,1
133,16_20,1
134,16_21,3
135,16_22,0
136,16_23,27
137,16_3,2
138,16_4,32
139,16_5,3
140,16_6,10
141,16_7,18
142,16_8,2
143,16_9,6
144,17_0,1
145,17_1,11
146,17_10,1
147,17_11,3
148,17_12,9
149,17_13,13
150,17_14,6
151,17_15,0
152,17_16,4
153,17_17,6
154,17_18,1
155,17_19,2
156,17_2,9
157,17_20,1
158,17_21,3
159,17_22,1
160,17_23,3
161,17_3,31
162,17_4,1
163,17_5,5
164,17_6,0
165,17_7,1
166,17_8,33
167,17_9,8
168,18_0,4
169,18_1,6
170,18_10,2
171,18_11,1
172,18_12,8
173,18_13,0
174,18_14,0
175,18_15,1
176,18_16,4
177,18_17,3
178,18_18,0
179,18_19,0
180,18_2,3
181,18_20,14
182,18_21,1
183,18_22,2
184,18_23,2
185,18_3,3
186,18_4,4
187,18_5,3
188,18_6,3
189,18_7,5
190,18_8,0
191,18_9,12
