,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,29
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,1304
25,12_1,1412
26,12_10,1074
27,12_11,582
28,12_12,20
29,12_13,112
30,12_14,0
31,12_15,223
32,12_16,55
33,12_17,26
34,12_18,0
35,12_19,0
36,12_2,1155
37,12_20,0
38,12_21,0
39,12_22,159
40,12_23,510
41,12_3,245
42,12_4,579
43,12_5,519
44,12_6,112
45,12_7,397
46,12_8,1278
47,12_9,1164
48,13_0,2470
49,13_1,1170
50,13_10,202
51,13_11,57
52,13_12,236
53,13_13,5
54,13_14,14
55,13_15,119
56,13_16,50
57,13_17,71
58,13_18,248
59,13_19,5
60,13_2,797
61,13_20,2
62,13_21,1
63,13_22,211
64,13_23,966
65,13_3,965
66,13_4,1012
67,13_5,383
68,13_6,55
69,13_7,159
70,13_8,510
71,13_9,183
72,14_0,986
73,14_1,1339
74,14_10,1267
75,14_11,1192
76,14_12,1388
77,14_13,1027
78,14_14,25
79,14_15,109
80,14_16,32
81,14_17,88
82,14_18,0
83,14_19,0
84,14_2,1419
85,14_20,39
86,14_21,213
87,14_22,115
88,14_23,175
89,14_3,184
90,14_4,170
91,14_5,546
92,14_6,581
93,14_7,230
94,14_8,1
95,14_9,392
96,15_0,401
97,15_1,919
98,15_10,1
99,15_11,261
100,15_12,226
101,15_13,222
102,15_14,262
103,15_15,67
104,15_16,123
105,15_17,106
106,15_18,25
107,15_19,19
108,15_2,1832
109,15_20,118
110,15_21,123
111,15_22,0
112,15_23,363
113,15_3,802
114,15_4,618
115,15_5,1054
116,15_6,875
117,15_7,925
118,15_8,341
119,15_9,137
120,16_0,1038
121,16_1,1325
122,16_10,884
123,16_11,123
124,16_12,105
125,16_13,0
126,16_14,46
127,16_15,2
128,16_16,0
129,16_17,0
130,16_18,0
131,16_19,0
132,16_2,1499
133,16_20,0
134,16_21,0
135,16_22,64
136,16_23,597
137,16_3,1041
138,16_4,383
139,16_5,543
140,16_6,164
141,16_7,887
142,16_8,1343
143,16_9,1367
144,17_0,2166
145,17_1,1060
146,17_10,214
147,17_11,198
148,17_12,112
149,17_13,115
150,17_14,15
151,17_15,14
152,17_16,149
153,17_17,17
154,17_18,134
155,17_19,201
156,17_2,628
157,17_20,6
158,17_21,29
159,17_22,253
160,17_23,711
161,17_3,931
162,17_4,921
163,17_5,725
164,17_6,460
165,17_7,227
166,17_8,144
167,17_9,388
168,18_0,181
169,18_1,0
170,18_10,0
171,18_11,0
172,18_12,0
173,18_13,0
174,18_14,0
175,18_15,0
176,18_16,0
177,18_17,0
178,18_18,0
179,18_19,0
180,18_2,0
181,18_20,0
182,18_21,0
183,18_22,174
184,18_23,830
185,18_3,0
186,18_4,0
187,18_5,0
188,18_6,0
189,18_7,0
190,18_8,0
191,18_9,0
