,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,939
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,2623
25,12_1,4317
26,12_10,1296
27,12_11,5548
28,12_12,1060
29,12_13,3692
30,12_14,2429
31,12_15,4919
32,12_16,3703
33,12_17,3900
34,12_18,1496
35,12_19,5513
36,12_2,1222
37,12_20,2473
38,12_21,7594
39,12_22,2106
40,12_23,3917
41,12_3,3773
42,12_4,1311
43,12_5,3178
44,12_6,1314
45,12_7,5677
46,12_8,2048
47,12_9,4498
48,13_0,1404
49,13_1,5592
50,13_10,2582
51,13_11,3783
52,13_12,1440
53,13_13,8579
54,13_14,1965
55,13_15,6902
56,13_16,2723
57,13_17,5247
58,13_18,2377
59,13_19,2869
60,13_2,1777
61,13_20,4849
62,13_21,3828
63,13_22,3575
64,13_23,5316
65,13_3,4279
66,13_4,1422
67,13_5,2847
68,13_6,1321
69,13_7,3635
70,13_8,1476
71,13_9,5008
72,14_0,2465
73,14_1,7034
74,14_10,650
75,14_11,2600
76,14_12,500
77,14_13,3750
78,14_14,645
79,14_15,2743
80,14_16,4357
81,14_17,2302
82,14_18,3401
83,14_19,5044
84,14_2,2880
85,14_20,2816
86,14_21,1624
87,14_22,2165
88,14_23,2730
89,14_3,3940
90,14_4,2412
91,14_5,1
92,14_6,0
93,14_7,5260
94,14_8,1797
95,14_9,4645
96,15_0,3054
97,15_1,3851
98,15_10,9525
99,15_11,15366
100,15_12,3680
101,15_13,7916
102,15_14,9439
103,15_15,20854
104,15_16,11065
105,15_17,5627
106,15_18,5592
107,15_19,12494
108,15_2,3522
109,15_20,7364
110,15_21,10262
111,15_22,3310
112,15_23,8009
113,15_3,5690
114,15_4,2698
115,15_5,6442
116,15_6,2581
117,15_7,9983
118,15_8,2224
119,15_9,22899
120,16_0,3422
121,16_1,2686
122,16_10,0
123,16_11,4678
124,16_12,457
125,16_13,4024
126,16_14,1419
127,16_15,4119
128,16_16,1034
129,16_17,2093
130,16_18,3299
131,16_19,2868
132,16_2,0
133,16_20,1257
134,16_21,1929
135,16_22,3128
136,16_23,4390
137,16_3,6240
138,16_4,1238
139,16_5,4340
140,16_6,360
141,16_7,2812
142,16_8,23
143,16_9,2
144,17_0,929
145,17_1,4686
146,17_10,3768
147,17_11,2657
148,17_12,2551
149,17_13,4033
150,17_14,5216
151,17_15,5541
152,17_16,6176
153,17_17,6394
154,17_18,3039
155,17_19,1980
156,17_2,2559
157,17_20,4602
158,17_21,4977
159,17_22,2815
160,17_23,3220
161,17_3,5492
162,17_4,1951
163,17_5,3649
164,17_6,1810
165,17_7,4598
166,17_8,1236
167,17_9,3328
168,18_0,1617
169,18_1,5733
170,18_10,52
171,18_11,5528
172,18_12,4019
173,18_13,6488
174,18_14,4983
175,18_15,4965
176,18_16,6814
177,18_17,4129
178,18_18,4984
179,18_19,4451
180,18_2,3820
181,18_20,3831
182,18_21,4560
183,18_22,3486
184,18_23,3555
185,18_3,4765
186,18_4,2593
187,18_5,4518
188,18_6,1534
189,18_7,6379
190,18_8,950
191,18_9,57
