,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,79
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,682
25,12_1,752
26,12_10,660
27,12_11,722
28,12_12,723
29,12_13,690
30,12_14,686
31,12_15,726
32,12_16,706
33,12_17,756
34,12_18,733
35,12_19,767
36,12_2,747
37,12_20,754
38,12_21,751
39,12_22,748
40,12_23,722
41,12_3,770
42,12_4,697
43,12_5,735
44,12_6,684
45,12_7,777
46,12_8,1078
47,12_9,745
48,13_0,754
49,13_1,771
50,13_10,790
51,13_11,787
52,13_12,758
53,13_13,705
54,13_14,704
55,13_15,799
56,13_16,716
57,13_17,745
58,13_18,762
59,13_19,775
60,13_2,752
61,13_20,763
62,13_21,735
63,13_22,769
64,13_23,727
65,13_3,718
66,13_4,739
67,13_5,736
68,13_6,726
69,13_7,727
70,13_8,985
71,13_9,759
72,14_0,721
73,14_1,761
74,14_10,781
75,14_11,744
76,14_12,763
77,14_13,725
78,14_14,716
79,14_15,697
80,14_16,700
81,14_17,761
82,14_18,749
83,14_19,754
84,14_2,719
85,14_20,718
86,14_21,783
87,14_22,775
88,14_23,725
89,14_3,763
90,14_4,773
91,14_5,720
92,14_6,768
93,14_7,780
94,14_8,1054
95,14_9,715
96,15_0,766
97,15_1,716
98,15_10,740
99,15_11,616
100,15_12,757
101,15_13,733
102,15_14,654
103,15_15,668
104,15_16,664
105,15_17,751
106,15_18,726
107,15_19,723
108,15_2,697
109,15_20,736
110,15_21,745
111,15_22,762
112,15_23,704
113,15_3,719
114,15_4,767
115,15_5,711
116,15_6,776
117,15_7,735
118,15_8,1088
119,15_9,764
120,16_0,722
121,16_1,717
122,16_10,721
123,16_11,737
124,16_12,655
125,16_13,730
126,16_14,722
127,16_15,732
128,16_16,714
129,16_17,677
130,16_18,763
131,16_19,747
132,16_2,696
133,16_20,765
134,16_21,706
135,16_22,744
136,16_23,754
137,16_3,765
138,16_4,777
139,16_5,793
140,16_6,735
141,16_7,739
142,16_8,1052
143,16_9,725
144,17_0,728
145,17_1,768
146,17_10,731
147,17_11,677
148,17_12,732
149,17_13,747
150,17_14,703
151,17_15,721
152,17_16,766
153,17_17,738
154,17_18,724
155,17_19,701
156,17_2,806
157,17_20,742
158,17_21,754
159,17_22,745
160,17_23,748
161,17_3,733
162,17_4,749
163,17_5,721
164,17_6,743
165,17_7,782
166,17_8,734
167,17_9,755
168,18_0,728
169,18_1,765
170,18_10,775
171,18_11,743
172,18_12,742
173,18_13,736
174,18_14,703
175,18_15,748
176,18_16,693
177,18_17,738
178,18_18,752
179,18_19,770
180,18_2,729
181,18_20,717
182,18_21,725
183,18_22,733
184,18_23,609
185,18_3,738
186,18_4,737
187,18_5,741
188,18_6,712
189,18_7,731
190,18_8,770
191,18_9,818
