,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,10
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,114
25,12_1,107
26,12_10,76
27,12_11,88
28,12_12,68
29,12_13,81
30,12_14,175
31,12_15,71
32,12_16,87
33,12_17,116
34,12_18,67
35,12_19,0
36,12_2,92
37,12_20,0
38,12_21,0
39,12_22,0
40,12_23,0
41,12_3,79
42,12_4,97
43,12_5,100
44,12_6,94
45,12_7,100
46,12_8,99
47,12_9,97
48,13_0,0
49,13_1,0
50,13_10,0
51,13_11,0
52,13_12,0
53,13_13,0
54,13_14,0
55,13_15,0
56,13_16,0
57,13_17,0
58,13_18,0
59,13_19,0
60,13_2,0
61,13_20,0
62,13_21,0
63,13_22,0
64,13_23,0
65,13_3,0
66,13_4,0
67,13_5,0
68,13_6,0
69,13_7,0
70,13_8,0
71,13_9,0
72,14_0,0
73,14_1,0
74,14_10,37
75,14_11,76
76,14_12,101
77,14_13,225
78,14_14,65
79,14_15,60
80,14_16,61
81,14_17,70
82,14_18,76
83,14_19,83
84,14_2,0
85,14_20,67
86,14_21,65
87,14_22,50
88,14_23,60
89,14_3,0
90,14_4,0
91,14_5,0
92,14_6,0
93,14_7,0
94,14_8,0
95,14_9,0
96,15_0,76
97,15_1,70
98,15_10,127
99,15_11,181
100,15_12,260
101,15_13,151
102,15_14,47
103,15_15,76
104,15_16,220
105,15_17,279
106,15_18,281
107,15_19,89
108,15_2,66
109,15_20,75
110,15_21,70
111,15_22,62
112,15_23,68
113,15_3,62
114,15_4,55
115,15_5,72
116,15_6,50
117,15_7,73
118,15_8,64
119,15_9,74
120,16_0,71
121,16_1,60
122,16_10,177
123,16_11,298
124,16_12,329
125,16_13,300
126,16_14,316
127,16_15,111
128,16_16,312
129,16_17,289
130,16_18,344
131,16_19,322
132,16_2,73
133,16_20,354
134,16_21,302
135,16_22,298
136,16_23,320
137,16_3,72
138,16_4,79
139,16_5,63
140,16_6,72
141,16_7,72
142,16_8,61
143,16_9,72
144,17_0,324
145,17_1,330
146,17_10,377
147,17_11,314
148,17_12,339
149,17_13,291
150,17_14,307
151,17_15,335
152,17_16,336
153,17_17,318
154,17_18,352
155,17_19,134
156,17_2,332
157,17_20,73
158,17_21,59
159,17_22,78
160,17_23,74
161,17_3,342
162,17_4,336
163,17_5,304
164,17_6,316
165,17_7,346
166,17_8,293
167,17_9,289
168,18_0,65
169,18_1,62
170,18_10,68
171,18_11,73
172,18_12,79
173,18_13,66
174,18_14,65
175,18_15,66
176,18_16,72
177,18_17,81
178,18_18,54
179,18_19,57
180,18_2,71
181,18_20,80
182,18_21,69
183,18_22,71
184,18_23,64
185,18_3,71
186,18_4,68
187,18_5,58
188,18_6,68
189,18_7,79
190,18_8,86
191,18_9,83
