,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,2
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,18
25,12_1,15
26,12_10,106
27,12_11,82
28,12_12,90
29,12_13,105
30,12_14,95
31,12_15,92
32,12_16,97
33,12_17,91
34,12_18,95
35,12_19,48
36,12_2,14
37,12_20,38
38,12_21,17
39,12_22,0
40,12_23,0
41,12_3,18
42,12_4,16
43,12_5,11
44,12_6,21
45,12_7,20
46,12_8,21
47,12_9,37
48,13_0,0
49,13_1,0
50,13_10,0
51,13_11,0
52,13_12,0
53,13_13,0
54,13_14,0
55,13_15,0
56,13_16,0
57,13_17,0
58,13_18,0
59,13_19,0
60,13_2,0
61,13_20,0
62,13_21,0
63,13_22,0
64,13_23,0
65,13_3,0
66,13_4,0
67,13_5,0
68,13_6,0
69,13_7,0
70,13_8,0
71,13_9,0
72,14_0,0
73,14_1,0
74,14_10,0
75,14_11,0
76,14_12,0
77,14_13,1
78,14_14,0
79,14_15,0
80,14_16,0
81,14_17,0
82,14_18,0
83,14_19,1
84,14_2,0
85,14_20,0
86,14_21,0
87,14_22,1
88,14_23,0
89,14_3,0
90,14_4,0
91,14_5,0
92,14_6,0
93,14_7,0
94,14_8,0
95,14_9,0
96,15_0,0
97,15_1,0
98,15_10,78
99,15_11,67
100,15_12,70
101,15_13,86
102,15_14,73
103,15_15,76
104,15_16,54
105,15_17,69
106,15_18,57
107,15_19,46
108,15_2,0
109,15_20,26
110,15_21,10
111,15_22,0
112,15_23,0
113,15_3,0
114,15_4,0
115,15_5,1
116,15_6,0
117,15_7,2
118,15_8,1
119,15_9,28
120,16_0,0
121,16_1,0
122,16_10,50
123,16_11,53
124,16_12,32
125,16_13,41
126,16_14,47
127,16_15,60
128,16_16,63
129,16_17,72
130,16_18,71
131,16_19,36
132,16_2,0
133,16_20,25
134,16_21,41
135,16_22,26
136,16_23,28
137,16_3,0
138,16_4,1
139,16_5,0
140,16_6,0
141,16_7,0
142,16_8,0
143,16_9,18
144,17_0,19
145,17_1,22
146,17_10,82
147,17_11,85
148,17_12,94
149,17_13,82
150,17_14,76
151,17_15,80
152,17_16,73
153,17_17,53
154,17_18,49
155,17_19,49
156,17_2,16
157,17_20,37
158,17_21,28
159,17_22,25
160,17_23,17
161,17_3,21
162,17_4,20
163,17_5,27
164,17_6,18
165,17_7,17
166,17_8,18
167,17_9,60
168,18_0,15
169,18_1,18
170,18_10,76
171,18_11,56
172,18_12,34
173,18_13,46
174,18_14,50
175,18_15,55
176,18_16,55
177,18_17,42
178,18_18,27
179,18_19,34
180,18_2,20
181,18_20,30
182,18_21,18
183,18_22,11
184,18_23,12
185,18_3,19
186,18_4,14
187,18_5,14
188,18_6,13
189,18_7,21
190,18_8,19
191,18_9,34
