,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,90
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,987
25,12_1,966
26,12_10,716
27,12_11,935
28,12_12,942
29,12_13,863
30,12_14,788
31,12_15,842
32,12_16,734
33,12_17,682
34,12_18,703
35,12_19,710
36,12_2,1045
37,12_20,775
38,12_21,751
39,12_22,769
40,12_23,714
41,12_3,1039
42,12_4,964
43,12_5,955
44,12_6,1025
45,12_7,1022
46,12_8,980
47,12_9,925
48,13_0,714
49,13_1,716
50,13_10,823
51,13_11,1029
52,13_12,1007
53,13_13,1022
54,13_14,977
55,13_15,969
56,13_16,1012
57,13_17,996
58,13_18,1026
59,13_19,1026
60,13_2,768
61,13_20,1020
62,13_21,1001
63,13_22,1008
64,13_23,999
65,13_3,746
66,13_4,789
67,13_5,782
68,13_6,763
69,13_7,752
70,13_8,715
71,13_9,727
72,14_0,973
73,14_1,997
74,14_10,1075
75,14_11,1208
76,14_12,1300
77,14_13,1203
78,14_14,1237
79,14_15,1205
80,14_16,1242
81,14_17,1263
82,14_18,1218
83,14_19,1255
84,14_2,1007
85,14_20,1239
86,14_21,1217
87,14_22,1238
88,14_23,1244
89,14_3,999
90,14_4,935
91,14_5,1000
92,14_6,945
93,14_7,1052
94,14_8,1022
95,14_9,1034
96,15_0,1247
97,15_1,1225
98,15_10,735
99,15_11,749
100,15_12,839
101,15_13,689
102,15_14,594
103,15_15,578
104,15_16,611
105,15_17,618
106,15_18,641
107,15_19,662
108,15_2,1222
109,15_20,762
110,15_21,759
111,15_22,708
112,15_23,746
113,15_3,1129
114,15_4,716
115,15_5,756
116,15_6,746
117,15_7,744
118,15_8,727
119,15_9,674
120,16_0,737
121,16_1,804
122,16_10,374
123,16_11,535
124,16_12,560
125,16_13,545
126,16_14,449
127,16_15,410
128,16_16,450
129,16_17,404
130,16_18,470
131,16_19,446
132,16_2,739
133,16_20,394
134,16_21,399
135,16_22,416
136,16_23,414
137,16_3,675
138,16_4,350
139,16_5,335
140,16_6,309
141,16_7,329
142,16_8,346
143,16_9,297
144,17_0,431
145,17_1,409
146,17_10,462
147,17_11,527
148,17_12,540
149,17_13,567
150,17_14,442
151,17_15,455
152,17_16,422
153,17_17,407
154,17_18,399
155,17_19,407
156,17_2,415
157,17_20,420
158,17_21,424
159,17_22,417
160,17_23,423
161,17_3,396
162,17_4,404
163,17_5,400
164,17_6,370
165,17_7,445
166,17_8,407
167,17_9,430
168,18_0,406
169,18_1,401
170,18_10,436
171,18_11,629
172,18_12,659
173,18_13,641
174,18_14,605
175,18_15,620
176,18_16,662
177,18_17,641
178,18_18,481
179,18_19,472
180,18_2,412
181,18_20,503
182,18_21,504
183,18_22,493
184,18_23,483
185,18_3,402
186,18_4,385
187,18_5,418
188,18_6,386
189,18_7,422
190,18_8,410
191,18_9,387
