day_time,send_flow,receive_flow,sum_flow
5_30_0,0,0,0
5_30_1,0,0,0
5_30_10,0,0,0
5_30_11,0,0,0
5_30_12,0,0,0
5_30_13,0,0,0
5_30_14,0,0,0
5_30_15,0,0,0
5_30_16,0,0,0
5_30_17,0,0,0
5_30_18,0,0,0
5_30_19,0,0,0
5_30_2,0,0,0
5_30_20,0,0,0
5_30_21,0,0,0
5_30_22,0,0,0
5_30_23,0,0,0
5_30_3,0,0,0
5_30_4,0,0,0
5_30_5,0,0,0
5_30_6,0,0,0
5_30_7,0,0,0
5_30_8,0,0,0
5_30_9,0,0,0
5_31_0,529,768,1297
5_31_1,137720,140633,278353
5_31_10,3019595,494358,3513953
5_31_11,13704679,1392043,15096722
5_31_12,141932,81012,222944
5_31_13,549464,441595,991059
5_31_14,1622141,580049,2202190
5_31_15,5056970,1167424,6224394
5_31_16,1971193,737763,2708956
5_31_17,7204852,1797832,9002684
5_31_18,3589520,436110,4025630
5_31_19,1387007,803740,2190747
5_31_2,3025,2858,5883
5_31_20,149,70,219
5_31_21,149,70,219
5_31_22,149,70,219
5_31_23,149,70,219
5_31_3,149,70,219
5_31_4,149,70,219
5_31_5,149,70,219
5_31_6,149,70,219
5_31_7,149,70,219
5_31_8,149,70,219
5_31_9,4059166,7806,4066972
6_10_0,149,70,219
6_10_1,170,70,240
6_10_10,5855650,1184210,7039860
6_10_11,8490690,631084,9121774
6_10_12,491962,159176,651138
6_10_13,3658184,1787953,5446137
6_10_14,3112439,1690795,4803234
6_10_15,4554855,1599264,6154119
6_10_16,5873381,1371105,7244486
6_10_17,11824556,1586913,13411469
6_10_18,762462,158739,921201
6_10_19,149,70,219
6_10_2,149,70,219
6_10_20,149,70,219
6_10_21,149,70,219
6_10_22,149,70,219
6_10_23,0,0,0
6_10_3,149,70,219
6_10_4,149,70,219
6_10_5,149,70,219
6_10_6,149,70,219
6_10_7,149,70,219
6_10_8,160318,149827,310145
6_10_9,3024777,620369,3645146
6_11_0,149,70,219
6_11_1,149,70,219
6_11_10,9352353,1428465,10780818
6_11_11,7832661,2074005,9906666
6_11_12,2770234,689865,3460099
6_11_13,1426263,1088296,2514559
6_11_14,2711133,1000877,3712010
6_11_15,3859817,1335929,5195746
6_11_16,14577850,2595316,17173166
6_11_17,12768236,1512446,14280682
6_11_18,4483376,766145,5249521
6_11_19,509368,199170,708538
6_11_2,0,0,0
6_11_20,149,70,219
6_11_21,149,70,219
6_11_22,149,70,219
6_11_23,149,70,219
6_11_3,149,70,219
6_11_4,149,70,219
6_11_5,149,70,219
6_11_6,149,70,219
6_11_7,149,70,219
6_11_8,149,70,219
6_11_9,14185137,205968,14391105
6_12_0,149,70,219
6_12_1,149,70,219
6_12_10,5905417,1326510,7231927
6_12_11,2513570,719851,3233421
6_12_12,525526,305142,830668
6_12_13,8101825,176385,8278210
6_12_14,1441799,711227,2153026
6_12_15,1713027,631871,2344898
6_12_16,3757101,1227326,4984427
6_12_17,3440113,870640,4310753
6_12_18,15497338,1223656,16720994
6_12_19,2460052,1275621,3735673
6_12_2,149,70,219
6_12_20,149,70,219
6_12_21,149,70,219
6_12_22,149,70,219
6_12_23,149,70,219
6_12_3,149,70,219
6_12_4,149,70,219
6_12_5,149,70,219
6_12_6,3565,521,4086
6_12_7,149,70,219
6_12_8,149,70,219
6_12_9,7295452,220455,7515907
6_13_0,529,768,1297
6_13_1,149,70,219
6_13_10,2083364,477504,2560868
6_13_11,8514610,4931760,13446370
6_13_12,1115425,392455,1507880
6_13_13,2677726,1045567,3723293
6_13_14,726768,196153,922921
6_13_15,2881288,821220,3702508
6_13_16,8882413,701806,9584219
6_13_17,6539616,4894383,11433999
6_13_18,8028215,145805,8174020
6_13_19,1822410,454867,2277277
6_13_2,149,70,219
6_13_20,1442796,507586,1950382
6_13_21,149,70,219
6_13_22,149,70,219
6_13_23,149,70,219
6_13_3,149,70,219
6_13_4,149,70,219
6_13_5,149,70,219
6_13_6,142753,145170,287923
6_13_7,149,70,219
6_13_8,149,70,219
6_13_9,13009345,326523,13335868
6_1_0,529,768,1297
6_1_1,149,70,219
6_1_10,494267,357955,852222
6_1_11,835927,292815,1128742
6_1_12,149,70,219
6_1_13,11061,16831,27892
6_1_14,51997,12988,64985
6_1_15,149,70,219
6_1_16,64600,31189,95789
6_1_17,149,70,219
6_1_18,1554398,977853,2532251
6_1_19,14320384,83217,14403601
6_1_2,149,70,219
6_1_20,244888,78485,323373
6_1_21,149,70,219
6_1_22,149,70,219
6_1_23,149,70,219
6_1_3,149,70,219
6_1_4,149,70,219
6_1_5,149,70,219
6_1_6,149,70,219
6_1_7,149,70,219
6_1_8,149,70,219
6_1_9,102200,21973,124173
6_2_0,529,768,1297
6_2_1,149,70,219
6_2_10,149,70,219
6_2_11,140447,141629,282076
6_2_12,168001,32439,200440
6_2_13,272656,55816,328472
6_2_14,149,70,219
6_2_15,149,70,219
6_2_16,149,70,219
6_2_17,188326,51859,240185
6_2_18,920493,560115,1480608
6_2_19,149,70,219
6_2_2,6292,521,6813
6_2_20,149,70,219
6_2_21,149,70,219
6_2_22,149,70,219
6_2_23,149,70,219
6_2_3,149,70,219
6_2_4,149,70,219
6_2_5,149,70,219
6_2_6,149,70,219
6_2_7,149,70,219
6_2_8,149,70,219
6_2_9,149,70,219
6_3_0,529,768,1297
6_3_1,149,70,219
6_3_10,8416779,4778732,13195511
6_3_11,12053168,2388311,14441479
6_3_12,883769,382849,1266618
6_3_13,964263,1117316,2081579
6_3_14,1558588,525962,2084550
6_3_15,5250454,2638103,7888557
6_3_16,2222077,786879,3008956
6_3_17,3033533,1272208,4305741
6_3_18,11686962,1268706,12955668
6_3_19,311975,104715,416690
6_3_2,170,70,240
6_3_20,149,70,219
6_3_21,149,70,219
6_3_22,149,70,219
6_3_23,149,70,219
6_3_3,149,70,219
6_3_4,149,70,219
6_3_5,149,70,219
6_3_6,149,70,219
6_3_7,149,70,219
6_3_8,149,70,219
6_3_9,10805347,552598,11357945
6_4_0,529,768,1297
6_4_1,149,70,219
6_4_10,3895907,1407924,5303831
6_4_11,4520870,1564585,6085455
6_4_12,3184016,1042766,4226782
6_4_13,609424,636041,1245465
6_4_14,5533842,493222,6027064
6_4_15,1349629,293216,1642845
6_4_16,8969272,2326990,11296262
6_4_17,3386805,1748972,5135777
6_4_18,30943741,1134617,32078358
6_4_19,149,70,219
6_4_2,149,70,219
6_4_20,149,70,219
6_4_21,149,70,219
6_4_22,149,70,219
6_4_23,149,70,219
6_4_3,149,70,219
6_4_4,149,70,219
6_4_5,149,70,219
6_4_6,149,70,219
6_4_7,149,70,219
6_4_8,149,70,219
6_4_9,2499316,88451,2587767
6_5_0,529,768,1297
6_5_1,149,70,219
6_5_10,7601187,4973071,12574258
6_5_11,7336076,1681978,9018054
6_5_12,149,70,219
6_5_13,529304,468631,997935
6_5_14,1275376,548039,1823415
6_5_15,3731174,969438,4700612
6_5_16,2860077,1138342,3998419
6_5_17,2431903,1234249,3666152
6_5_18,16223784,2194238,18418022
6_5_19,6604868,575526,7180394
6_5_2,170,70,240
6_5_20,149,70,219
6_5_21,149,70,219
6_5_22,149,70,219
6_5_23,149,70,219
6_5_3,149,70,219
6_5_4,149,70,219
6_5_5,149,70,219
6_5_6,149,70,219
6_5_7,149,70,219
6_5_8,0,0,0
6_5_9,2875485,86240,2961725
6_6_0,529,768,1297
6_6_1,149,70,219
6_6_10,10566768,2396910,12963678
6_6_11,3442261,1347276,4789537
6_6_12,504067,244637,748704
6_6_13,3375319,250094,3625413
6_6_14,1674930,678283,2353213
6_6_15,769810,160353,930163
6_6_16,2497533,1253859,3751392
6_6_17,2843212,897838,3741050
6_6_18,647350,217031,864381
6_6_19,149,70,219
6_6_2,149,70,219
6_6_20,149,70,219
6_6_21,12101438,389107,12490545
6_6_22,83241,57007,140248
6_6_23,1177483,1396488,2573971
6_6_3,149,70,219
6_6_4,149,70,219
6_6_5,149,70,219
6_6_6,149,70,219
6_6_7,149,70,219
6_6_8,149,70,219
6_6_9,7685202,173508,7858710
6_7_0,298,140,438
6_7_1,149,70,219
6_7_10,696701,231413,928114
6_7_11,109206,60347,169553
6_7_12,133780,66166,199946
6_7_13,4694212,1551783,6245995
6_7_14,15324,3169,18493
6_7_15,149,70,219
6_7_16,573051,45578,618629
6_7_17,574302,510410,1084712
6_7_18,35135,7733,42868
6_7_19,298,140,438
6_7_2,149,70,219
6_7_20,298,140,438
6_7_21,149,70,219
6_7_22,149,70,219
6_7_23,529,768,1297
6_7_3,149,70,219
6_7_4,149,70,219
6_7_5,149,70,219
6_7_6,149,70,219
6_7_7,149,70,219
6_7_8,149,70,219
6_7_9,466327,23747,490074
6_8_0,149,70,219
6_8_1,170,70,240
6_8_10,149,70,219
6_8_11,298,140,438
6_8_12,149,70,219
6_8_13,914613,345296,1259909
6_8_14,1161048,643277,1804325
6_8_15,149,70,219
6_8_16,149,70,219
6_8_17,77477,79766,157243
6_8_18,149,70,219
6_8_19,149,70,219
6_8_2,298,140,438
6_8_20,149,70,219
6_8_21,149,70,219
6_8_22,149,70,219
6_8_23,529,768,1297
6_8_3,149,70,219
6_8_4,149,70,219
6_8_5,149,70,219
6_8_6,148528,152248,300776
6_8_7,149,70,219
6_8_8,149,70,219
6_8_9,149,70,219
6_9_0,149,70,219
6_9_1,149,70,219
6_9_10,149,70,219
6_9_11,359148,21069,380217
6_9_12,484173,292517,776690
6_9_13,864068,393504,1257572
6_9_14,149,70,219
6_9_15,17087,3663,20750
6_9_16,17376,3705,21081
6_9_17,8356,1521,9877
6_9_18,50086,59383,109469
6_9_19,149,70,219
6_9_2,149,70,219
6_9_20,149,70,219
6_9_21,149,70,219
6_9_22,149,70,219
6_9_23,529,768,1297
6_9_3,149,70,219
6_9_4,149,70,219
6_9_5,149,70,219
6_9_6,149,70,219
6_9_7,145629,148040,293669
6_9_8,298,140,438
6_9_9,149,70,219
