day_time,send_flow,receive_flow,sum_flow
5_30_0,0,0,0
5_30_1,0,0,0
5_30_10,0,0,0
5_30_11,0,0,0
5_30_12,0,0,0
5_30_13,0,0,0
5_30_14,0,0,0
5_30_15,0,0,0
5_30_16,0,0,0
5_30_17,0,0,0
5_30_18,0,0,0
5_30_19,0,0,0
5_30_2,0,0,0
5_30_20,0,0,0
5_30_21,0,0,0
5_30_22,0,0,0
5_30_23,5372455,180702,5553157
5_30_3,0,0,0
5_30_4,0,0,0
5_30_5,0,0,0
5_30_6,0,0,0
5_30_7,0,0,0
5_30_8,0,0,0
5_30_9,0,0,0
5_31_0,146909728,2898606,149808334
5_31_1,204697,1209071,1413768
5_31_10,851847,1288098,2139945
5_31_11,244106,1305188,1549294
5_31_12,244448,1329391,1573839
5_31_13,270045,1327749,1597794
5_31_14,199065,1045632,1244697
5_31_15,253373,1097221,1350594
5_31_16,200076,1046008,1246084
5_31_17,532759,1316052,1848811
5_31_18,266268,1335519,1601787
5_31_19,189833,1106504,1296337
5_31_2,211389,1225188,1436577
5_31_20,195515,1108872,1304387
5_31_21,144697,834113,978810
5_31_22,142817,834203,977020
5_31_23,4546674,2379865,6926539
5_31_3,186191,1090207,1276398
5_31_4,188411,1103747,1292158
5_31_5,212938,1221585,1434523
5_31_6,236027,1373356,1609383
5_31_7,214418,1249968,1464386
5_31_8,240927,1383146,1624073
5_31_9,245392,1250923,1496315
6_10_0,238356,1390579,1628935
6_10_1,223383,1301260,1524643
6_10_10,279313,1360574,1639887
6_10_11,238070,1383394,1621464
6_10_12,244987,1407294,1652281
6_10_13,209106,1198784,1407890
6_10_14,222452,1325607,1548059
6_10_15,1995974,1461723,3457697
6_10_16,1549419,1403441,2952860
6_10_17,333021,1643048,1976069
6_10_18,252743,1278694,1531437
6_10_19,261599,1349839,1611438
6_10_2,239019,1398872,1637891
6_10_20,204755,1204813,1409568
6_10_21,207948,1167088,1375036
6_10_22,211479,1236557,1448036
6_10_23,26060,153016,179076
6_10_3,224879,1282947,1507826
6_10_4,241223,1414572,1655795
6_10_5,214455,1249725,1464180
6_10_6,244199,1435910,1680109
6_10_7,241828,1373441,1615269
6_10_8,213201,1227372,1440573
6_10_9,194798,1053494,1248292
6_11_0,234494,1374071,1608565
6_11_1,214381,1244897,1459278
6_11_10,215369,1176241,1391610
6_11_11,201023,1181927,1382950
6_11_12,442237,1373345,1815582
6_11_13,294325,1096241,1390566
6_11_14,260197,1394294,1654491
6_11_15,229686,1190525,1420211
6_11_16,227416,1298249,1525665
6_11_17,187083,1079879,1266962
6_11_18,233309,1352967,1586276
6_11_19,210852,1224877,1435729
6_11_2,234547,1355509,1590056
6_11_20,209243,1228663,1437906
6_11_21,141926,810954,952880
6_11_22,1025484,749917,1775401
6_11_23,213271,1248383,1461654
6_11_3,190610,1110410,1301020
6_11_4,190462,1108034,1298496
6_11_5,190647,1109773,1300420
6_11_6,209259,1230120,1439379
6_11_7,183167,1066959,1250126
6_11_8,212219,1237223,1449442
6_11_9,204403,1053243,1257646
6_12_0,128130,716070,844200
6_12_1,188411,1098642,1287053
6_12_10,2677028,1144653,3821681
6_12_11,1143798,1231236,2375034
6_12_12,1531110,1784298,3315408
6_12_13,226225,1210791,1437016
6_12_14,206235,1196327,1402562
6_12_15,1022785,1232803,2255588
6_12_16,1316511,1321655,2638166
6_12_17,302916,1535946,1838862
6_12_18,527643,1538765,2066408
6_12_19,567102,1356620,1923722
6_12_2,232327,1360659,1592986
6_12_20,250949,1331389,1582338
6_12_21,183500,1013289,1196789
6_12_22,4228702,1542916,5771618
6_12_23,211495,1234860,1446355
6_12_3,189167,1099858,1289025
6_12_4,166802,971921,1138723
6_12_5,189151,1098800,1287951
6_12_6,236709,1376439,1613148
6_12_7,237523,1387702,1625225
6_12_8,213641,1248820,1462461
6_12_9,191121,974947,1166068
6_13_0,236596,1118165,1354761
6_13_1,207779,1225640,1433419
6_13_10,210739,1220434,1431173
6_13_11,1558065,1437161,2995226
6_13_12,267139,1428024,1695163
6_13_13,770066,1378998,2149064
6_13_14,203867,1201590,1405457
6_13_15,653278,1328219,1981497
6_13_16,1153196,1468873,2622069
6_13_17,751411,1272405,2023816
6_13_18,226502,1338554,1565056
6_13_19,207369,1209702,1417071
6_13_2,237470,1384859,1622329
6_13_20,238099,1383658,1621757
6_13_21,210633,1232730,1443363
6_13_22,235879,1385023,1620902
6_13_23,187634,1096474,1284108
6_13_3,142291,832343,974634
6_13_4,189167,1099274,1288441
6_13_5,189114,1108291,1297405
6_13_6,237507,1380642,1618149
6_13_7,190647,1111194,1301841
6_13_8,192502,1105606,1298108
6_13_9,186887,970659,1157546
6_1_0,1200475,984984,2185459
6_1_1,173362,966630,1139992
6_1_10,165343,966526,1131869
6_1_11,126671,710003,836674
6_1_12,186101,1090138,1276239
6_1_13,213715,1238190,1451905
6_1_14,198623,1133773,1332396
6_1_15,186931,1093137,1280068
6_1_16,186159,1089356,1275515
6_1_17,229351,1347217,1576568
6_1_18,236783,1374010,1610793
6_1_19,207726,1216447,1424173
6_1_2,235271,1380406,1615677
6_1_20,232343,1344491,1576834
6_1_21,228447,1338213,1566660
6_1_22,209111,1228509,1437620
6_1_23,3471461,1494005,4965466
6_1_3,206198,1211405,1417603
6_1_4,212235,1232761,1444996
6_1_5,258355,1516787,1775142
6_1_6,214418,1247617,1462035
6_1_7,190573,1090228,1280801
6_1_8,208445,1211005,1419450
6_1_9,190443,1100216,1290659
6_2_0,147631616,2849098,150480714
6_2_1,210605,1224099,1434704
6_2_10,212219,1243401,1455620
6_2_11,237486,1384727,1622213
6_2_12,209946,1221783,1431729
6_2_13,209227,1227470,1436697
6_2_14,181502,1079367,1260869
6_2_15,184679,1087166,1271845
6_2_16,189114,1105521,1294635
6_2_17,186175,1090211,1276386
6_2_18,212922,1235669,1448591
6_2_19,259798,1511100,1770898
6_2_2,234547,1360258,1594805
6_2_20,230028,1339684,1569712
6_2_21,216511,1246773,1463284
6_2_22,191979,1105039,1297018
6_2_23,169017,976157,1145174
6_2_3,211463,1241110,1452573
6_2_4,210755,1239294,1450049
6_2_5,223341,1306188,1529529
6_2_6,214418,1247669,1462087
6_2_7,253048,1488104,1741152
6_2_8,188427,1081015,1269442
6_2_9,210480,1225520,1436000
6_3_0,1657743,1687127,3344870
6_3_1,3208903,2788176,5997079
6_3_10,242790,1270702,1513492
6_3_11,1777594,1155072,2932666
6_3_12,1748317,1487234,3235551
6_3_13,2475946,1617037,4092983
6_3_14,1103096,1135051,2238147
6_3_15,767412,1141017,1908429
6_3_16,202477,1238084,1440561
6_3_17,191560,1188446,1380006
6_3_18,177109,1073671,1250780
6_3_19,231656,1333613,1565269
6_3_2,149727679,3082605,152810284
6_3_20,206954,1212835,1419789
6_3_21,238226,1368470,1606696
6_3_22,214418,1239152,1453570
6_3_23,241075,1369359,1610434
6_3_3,220888,1267980,1488868
6_3_4,235303,1380209,1615512
6_3_5,232168,1347888,1580056
6_3_6,227802,1322609,1550411
6_3_7,214455,1238676,1453131
6_3_8,234547,1378279,1612826
6_3_9,245805,1275571,1521376
6_4_0,299051,1358703,1657754
6_4_1,1065075,1253630,2318705
6_4_10,180857,1110714,1291571
6_4_11,202498,1176432,1378930
6_4_12,206267,1229664,1435931
6_4_13,1884068,1443406,3327474
6_4_14,865629,1223011,2088640
6_4_15,1587374,1543988,3131362
6_4_16,571689,1366553,1938242
6_4_17,530884,1574689,2105573
6_4_18,233440,1302818,1536258
6_4_19,204787,1200660,1405447
6_4_2,223825,1275647,1499472
6_4_20,2865608,1370462,4236070
6_4_21,190647,1110063,1300710
6_4_22,211421,1222130,1433551
6_4_23,7949010,2645912,10594922
6_4_3,211833,1231162,1442995
6_4_4,246406,1405291,1651697
6_4_5,214507,1238667,1453174
6_4_6,237435,1384195,1621630
6_4_7,234922,1379871,1614793
6_4_8,214394,1249104,1463498
6_4_9,314968,1475901,1790869
6_5_0,119776036,2671637,122447673
6_5_1,33194354,1713608,34907962
6_5_10,561920,1232886,1794806
6_5_11,518483,1349429,1867912
6_5_12,213440,1230665,1444105
6_5_13,236730,1383997,1620727
6_5_14,198634,1091713,1290347
6_5_15,191979,1098673,1290652
6_5_16,212198,1232737,1444935
6_5_17,207709,1193537,1401246
6_5_18,227855,1332464,1560319
6_5_19,212145,1234398,1446543
6_5_2,227575,1284330,1511905
6_5_20,235990,1373556,1609546
6_5_21,211426,1224638,1436064
6_5_22,213641,1236647,1450288
6_5_23,223031,1238197,1461228
6_5_3,210707,1239337,1450044
6_5_4,143031,832484,975515
6_5_5,190647,1109466,1300113
6_5_6,229980,1338524,1568504
6_5_7,235910,1245099,1481009
6_5_8,213662,1247937,1461599
6_5_9,228542,1347646,1576188
6_6_0,234531,1369864,1604395
6_6_1,236730,1374964,1611694
6_6_10,1005466,1752163,2757629
6_6_11,562729,1498982,2061711
6_6_12,225823,1235074,1460897
6_6_13,1924097,1488515,3412612
6_6_14,2458843,2133820,4592663
6_6_15,1627982,1639514,3267496
6_6_16,209206,1211876,1421082
6_6_17,236746,1366585,1603331
6_6_18,212693,1248498,1461191
6_6_19,235738,1316599,1552337
6_6_2,205195,1199996,1405191
6_6_20,236746,1385572,1622318
6_6_21,209946,1223644,1433590
6_6_22,923427,1521175,2444602
6_6_23,154581008,5603229,160184237
6_6_3,219667,1261252,1480919
6_6_4,235250,1369049,1604299
6_6_5,233754,1369429,1603183
6_6_6,232847,1355304,1588151
6_6_7,236767,1376495,1613262
6_6_8,210739,1223864,1434603
6_6_9,872945,1516110,2389055
6_7_0,30181449,1719249,31900698
6_7_1,257599,1523340,1780939
6_7_10,261474,1482426,1743900
6_7_11,256827,1533188,1790015
6_7_12,251711,1456051,1707762
6_7_13,256958,1472136,1729094
6_7_14,1006635,1654311,2660946
6_7_15,336369,1743466,2079835
6_7_16,315178,1601678,1916856
6_7_17,337693,1717606,2055299
6_7_18,338214,1700290,2038504
6_7_19,515153,1671088,2186241
6_7_2,222595,1315835,1538430
6_7_20,322043,1750081,2072124
6_7_21,268022,1434605,1702627
6_7_22,264134,1530113,1794247
6_7_23,250939,1440231,1691170
6_7_3,247159,1434348,1681507
6_7_4,218023,1268727,1486750
6_7_5,265851,1502936,1768787
6_7_6,225432,1289359,1514791
6_7_7,232742,1324769,1557511
6_7_8,257284,1497497,1754781
6_7_9,233067,1367116,1600183
6_8_0,236876,1316200,1553076
6_8_1,250151,1485282,1735433
