day_time,send_flow,receive_flow,sum_flow
5_30_0,0,0,0
5_30_1,0,0,0
5_30_10,0,0,0
5_30_11,0,0,0
5_30_12,0,0,0
5_30_13,0,0,0
5_30_14,0,0,0
5_30_15,0,0,0
5_30_16,0,0,0
5_30_17,0,0,0
5_30_18,0,0,0
5_30_19,0,0,0
5_30_2,0,0,0
5_30_20,0,0,0
5_30_21,0,0,0
5_30_22,0,0,0
5_30_23,296,312,608
5_30_3,0,0,0
5_30_4,0,0,0
5_30_5,0,0,0
5_30_6,0,0,0
5_30_7,0,0,0
5_30_8,0,0,0
5_30_9,0,0,0
5_31_0,592,624,1216
5_31_1,740,780,1520
5_31_10,592,624,1216
5_31_11,1036,936,1972
5_31_12,740,780,1520
5_31_13,444,468,912
5_31_14,296,156,452
5_31_15,740,780,1520
5_31_16,592,624,1216
5_31_17,1036,936,1972
5_31_18,592,624,1216
5_31_19,1036,1092,2128
5_31_2,1924,2028,3952
5_31_20,740,780,1520
5_31_21,592,624,1216
5_31_22,1184,1248,2432
5_31_23,1184,1248,2432
5_31_3,1184,1248,2432
5_31_4,1924,1872,3796
5_31_5,740,780,1520
5_31_6,1036,1092,2128
5_31_7,1480,1560,3040
5_31_8,1184,1248,2432
5_31_9,1332,1404,2736
6_10_0,740,780,1520
6_10_1,888,936,1824
6_10_10,0,0,0
6_10_11,148,156,304
6_10_12,1036,1092,2128
6_10_13,888,936,1824
6_10_14,740,780,1520
6_10_15,740,780,1520
6_10_16,592,624,1216
6_10_17,740,780,1520
6_10_18,592,624,1216
6_10_19,740,780,1520
6_10_2,1332,1404,2736
6_10_20,1036,1092,2128
6_10_21,2817,1302,4119
6_10_22,5411,1314,6725
6_10_23,148,156,304
6_10_3,1184,1248,2432
6_10_4,1036,1092,2128
6_10_5,592,624,1216
6_10_6,1332,1404,2736
6_10_7,1184,1248,2432
6_10_8,1480,1560,3040
6_10_9,148,156,304
6_11_0,130883,336277,467160
6_11_1,1036,1092,2128
6_11_10,888,936,1824
6_11_11,0,0,0
6_11_12,592,624,1216
6_11_13,592,624,1216
6_11_14,592,624,1216
6_11_15,592,468,1060
6_11_16,592,624,1216
6_11_17,0,0,0
6_11_18,444,468,912
6_11_19,592,624,1216
6_11_2,888,936,1824
6_11_20,740,780,1520
6_11_21,592,624,1216
6_11_22,740,780,1520
6_11_23,1036,1092,2128
6_11_3,740,780,1520
6_11_4,740,780,1520
6_11_5,148,156,304
6_11_6,740,780,1520
6_11_7,1332,1404,2736
6_11_8,740,780,1520
6_11_9,740,780,1520
6_12_0,592,624,1216
6_12_1,740,780,1520
6_12_10,296,156,452
6_12_11,203216439,2025154,205241593
6_12_12,515536619,4620638,520157257
6_12_13,496095928,4439589,500535517
6_12_14,463057019,4403989,467461008
6_12_15,491472198,4633815,496106013
6_12_16,415155197,4623829,419779026
6_12_17,336411718,4483353,340895071
6_12_18,323959974,4436132,328396106
6_12_19,225338067,4463628,229801695
6_12_2,888,936,1824
6_12_20,221411638,4607572,226019210
6_12_21,224904905,4657052,229561957
6_12_22,174230603,4206205,178436808
6_12_23,185348812,4270308,189619120
6_12_3,1036,1092,2128
6_12_4,888,936,1824
6_12_5,1036,1092,2128
6_12_6,740,780,1520
6_12_7,740,624,1364
6_12_8,740,780,1520
6_12_9,2669,1302,3971
6_13_0,175873010,4455914,180328924
6_13_1,175432537,4225320,179657857
6_13_10,437356177,3806294,441162471
6_13_11,480379061,4303019,484682080
6_13_12,561367422,4570007,565937429
6_13_13,516436318,4457795,520894113
6_13_14,472004333,4435325,476439658
6_13_15,516888652,4566916,521455568
6_13_16,488588061,4499848,493087909
6_13_17,388583077,4410809,392993886
6_13_18,347417535,4537146,351954681
6_13_19,223078292,4496109,227574401
6_13_2,183739849,4499862,188239711
6_13_20,201690088,4450477,206140565
6_13_21,224607618,4553828,229161446
6_13_22,186858603,4367423,191226026
6_13_23,167171039,3888901,171059940
6_13_3,151541263,3967289,155508552
6_13_4,141304709,3278312,144583021
6_13_5,218055650,3194425,221250075
6_13_6,262195650,2671805,264867455
6_13_7,530872205,3902303,534774508
6_13_8,597683228,4481092,602164320
6_13_9,432872416,3557724,436430140
6_1_0,888,936,1824
6_1_1,1036,1092,2128
6_1_10,592,624,1216
6_1_11,592,624,1216
6_1_12,1776,1872,3648
6_1_13,1628,1716,3344
6_1_14,888,936,1824
6_1_15,1184,1248,2432
6_1_16,744270815,93563,744364378
6_1_17,8752,3180,11932
6_1_18,1674459,553661,2228120
6_1_19,4302,1512,5814
6_1_2,1036,1092,2128
6_1_20,1036,1092,2128
6_1_21,1332,1248,2580
6_1_22,1332,1404,2736
6_1_23,740,780,1520
6_1_3,592,624,1216
6_1_4,592,624,1216
6_1_5,296,312,608
6_1_6,444,468,912
6_1_7,1184,1248,2432
6_1_8,1036,1092,2128
6_1_9,592,624,1216
6_2_0,1332,1404,2736
6_2_1,592,624,1216
6_2_10,592,624,1216
6_2_11,444,468,912
6_2_12,592,468,1060
6_2_13,888,936,1824
6_2_14,1480,1560,3040
6_2_15,1332,1404,2736
6_2_16,60845047,78669,60923716
6_2_17,740,780,1520
6_2_18,888,936,1824
6_2_19,740,780,1520
6_2_2,888,936,1824
6_2_20,1924,2028,3952
6_2_21,1184,1248,2432
6_2_22,1332,1404,2736
6_2_23,888,936,1824
6_2_3,444,468,912
6_2_4,888,936,1824
6_2_5,1628,1716,3344
6_2_6,592,624,1216
6_2_7,444,468,912
6_2_8,888,936,1824
6_2_9,592,624,1216
6_3_0,888,936,1824
6_3_1,1184,1248,2432
6_3_10,740,780,1520
6_3_11,148,156,304
6_3_12,740,780,1520
6_3_13,444,468,912
6_3_14,592,624,1216
6_3_15,888,936,1824
6_3_16,0,0,0
6_3_17,148,0,148
6_3_18,0,0,0
6_3_19,0,0,0
6_3_2,1480,1560,3040
6_3_20,444,468,912
6_3_21,1480,1560,3040
6_3_22,1924,2028,3952
6_3_23,1776,1716,3492
6_3_3,1184,1092,2276
6_3_4,1184,1248,2432
6_3_5,1036,1092,2128
6_3_6,444,468,912
6_3_7,444,468,912
6_3_8,1332,1404,2736
6_3_9,296,312,608
6_4_0,888,936,1824
6_4_1,740,780,1520
6_4_10,0,0,0
6_4_11,888,936,1824
6_4_12,1036,1092,2128
6_4_13,296,312,608
6_4_14,0,0,0
6_4_15,740,780,1520
6_4_16,296,312,608
6_4_17,592,468,1060
6_4_18,296,312,608
6_4_19,444,468,912
6_4_2,1628,1716,3344
6_4_20,888,936,1824
6_4_21,444,468,912
6_4_22,1036,1092,2128
6_4_23,1480,1560,3040
6_4_3,592,624,1216
6_4_4,1332,1404,2736
6_4_5,1628,1716,3344
6_4_6,1480,1560,3040
6_4_7,1332,1404,2736
6_4_8,888,936,1824
6_4_9,888,936,1824
6_5_0,1184,1248,2432
6_5_1,1332,1404,2736
6_5_10,888,936,1824
6_5_11,1036,1092,2128
6_5_12,592,624,1216
6_5_13,1036,1092,2128
6_5_14,148,156,304
6_5_15,740,624,1364
6_5_16,444,468,912
6_5_17,296,312,608
6_5_18,0,0,0
6_5_19,740,780,1520
6_5_2,1036,1092,2128
6_5_20,1776,1872,3648
6_5_21,1332,1404,2736
6_5_22,1036,1092,2128
6_5_23,740,780,1520
6_5_3,1332,1404,2736
6_5_4,1628,1716,3344
6_5_5,1480,1404,2884
6_5_6,1184,1248,2432
6_5_7,740,780,1520
6_5_8,592,624,1216
6_5_9,1036,1092,2128
6_6_0,888,780,1668
6_6_1,740,780,1520
6_6_10,444,468,912
6_6_11,740,780,1520
6_6_12,296,312,608
6_6_13,1036,1092,2128
6_6_14,1929,522,2451
6_6_15,1249200,109106,1358306
6_6_16,9638,22352,31990
6_6_17,0,0,0
6_6_18,296,312,608
6_6_19,740,780,1520
6_6_2,1480,1404,2884
6_6_20,1776,1872,3648
6_6_21,1036,1092,2128
6_6_22,1628,1716,3344
6_6_23,3256,3432,6688
6_6_3,1480,1404,2884
6_6_4,444,468,912
6_6_5,1628,1716,3344
6_6_6,740,780,1520
6_6_7,1036,1092,2128
6_6_8,1628,1716,3344
6_6_9,888,936,1824
6_7_0,1036,1092,2128
6_7_1,740,780,1520
6_7_10,3108,2964,6072
6_7_11,3996,4212,8208
6_7_12,2812,2964,5776
6_7_13,1924,2028,3952
6_7_14,1924,2028,3952
6_7_15,2220,2340,4560
6_7_16,0,0,0
6_7_17,0,0,0
6_7_18,1184,1248,2432
6_7_19,2960,2964,5924
6_7_2,1480,1560,3040
6_7_20,2664,2808,5472
6_7_21,2516,2496,5012
6_7_22,1184,1248,2432
6_7_23,1480,1560,3040
6_7_3,1036,936,1972
6_7_4,888,936,1824
6_7_5,1776,1872,3648
6_7_6,1628,1716,3344
6_7_7,2368,2496,4864
6_7_8,1184,1248,2432
6_7_9,2220,2340,4560
6_8_0,1332,1404,2736
6_8_1,740,780,1520
6_8_10,2220,1872,4092
6_8_11,1332,624,1956
6_8_12,296,312,608
6_8_13,296,312,608
6_8_14,592,624,1216
6_8_15,1628,1716,3344
6_8_16,888,936,1824
6_8_17,1184,1248,2432
6_8_18,888,936,1824
6_8_19,1332,1404,2736
6_8_2,2368,2496,4864
6_8_20,592,624,1216
6_8_21,740,780,1520
6_8_22,592,624,1216
6_8_23,888,936,1824
6_8_3,444,468,912
6_8_4,1776,1872,3648
6_8_5,1184,1248,2432
6_8_6,1628,1716,3344
6_8_7,888,936,1824
6_8_8,1924,2028,3952
6_8_9,1184,1248,2432
6_9_0,444,468,912
6_9_1,1184,1248,2432
6_9_10,1184,1248,2432
6_9_11,1036,1092,2128
6_9_12,1036,1092,2128
6_9_13,1184,1248,2432
6_9_14,740,780,1520
6_9_15,148,156,304
6_9_16,1036,1092,2128
6_9_17,1184,1248,2432
6_9_18,444,468,912
6_9_19,1036,1092,2128
6_9_2,888,936,1824
6_9_20,1480,1560,3040
6_9_21,740,780,1520
6_9_22,888,936,1824
6_9_23,18684511,27915,18712426
6_9_3,1036,1092,2128
6_9_4,1036,1092,2128
6_9_5,1332,1404,2736
6_9_6,1036,1092,2128
6_9_7,740,780,1520
6_9_8,1036,1092,2128
6_9_9,888,936,1824
