,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,0
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,6
25,12_1,4
26,12_10,8
27,12_11,21
28,12_12,6
29,12_13,15
30,12_14,13
31,12_15,9
32,12_16,10
33,12_17,10
34,12_18,23
35,12_19,3
36,12_2,4
37,12_20,4
38,12_21,10
39,12_22,5
40,12_23,6
41,12_3,6
42,12_4,5
43,12_5,5
44,12_6,5
45,12_7,6
46,12_8,5
47,12_9,2
48,13_0,3
49,13_1,2
50,13_10,4
51,13_11,5
52,13_12,1
53,13_13,5
54,13_14,1
55,13_15,7
56,13_16,3
57,13_17,3
58,13_18,4
59,13_19,9
60,13_2,4
61,13_20,3
62,13_21,3
63,13_22,3
64,13_23,2
65,13_3,3
66,13_4,8
67,13_5,4
68,13_6,3
69,13_7,3
70,13_8,10
71,13_9,8
72,14_0,5
73,14_1,5
74,14_10,5
75,14_11,3
76,14_12,7
77,14_13,5
78,14_14,6
79,14_15,1
80,14_16,7
81,14_17,7
82,14_18,6
83,14_19,2
84,14_2,2
85,14_20,6
86,14_21,9
87,14_22,1
88,14_23,4
89,14_3,4
90,14_4,0
91,14_5,3
92,14_6,5
93,14_7,3
94,14_8,3
95,14_9,1
96,15_0,4
97,15_1,1
98,15_10,8
99,15_11,9
100,15_12,10
101,15_13,2
102,15_14,7
103,15_15,67
104,15_16,18
105,15_17,13
106,15_18,18
107,15_19,15
108,15_2,5
109,15_20,13
110,15_21,12
111,15_22,5
112,15_23,1
113,15_3,6
114,15_4,5
115,15_5,4
116,15_6,8
117,15_7,1
118,15_8,7
119,15_9,7
120,16_0,3
121,16_1,4
122,16_10,17
123,16_11,28
124,16_12,15
125,16_13,7
126,16_14,26
127,16_15,30
128,16_16,36
129,16_17,17
130,16_18,8
131,16_19,23
132,16_2,4
133,16_20,32
134,16_21,15
135,16_22,5
136,16_23,3
137,16_3,7
138,16_4,1
139,16_5,4
140,16_6,1
141,16_7,6
142,16_8,1
143,16_9,5
144,17_0,3
145,17_1,3
146,17_10,14
147,17_11,7
148,17_12,44
149,17_13,6
150,17_14,5
151,17_15,4
152,17_16,40
153,17_17,21
154,17_18,47
155,17_19,42
156,17_2,4
157,17_20,36
158,17_21,5
159,17_22,6
160,17_23,3
161,17_3,7
162,17_4,4
163,17_5,1
164,17_6,5
165,17_7,5
166,17_8,4
167,17_9,12
168,18_0,4
169,18_1,4
170,18_10,16
171,18_11,15
172,18_12,613
173,18_13,4625
174,18_14,3966
175,18_15,37
176,18_16,45
177,18_17,43
178,18_18,23
179,18_19,18
180,18_2,1
181,18_20,26
182,18_21,22
183,18_22,13
184,18_23,10
185,18_3,4
186,18_4,3
187,18_5,2
188,18_6,6
189,18_7,6
190,18_8,5
191,18_9,9
