,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,1
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,8
25,12_1,4
26,12_10,34
27,12_11,13
28,12_12,15
29,12_13,8
30,12_14,22
31,12_15,28
32,12_16,11
33,12_17,14
34,12_18,18
35,12_19,10
36,12_2,9
37,12_20,10
38,12_21,6
39,12_22,11
40,12_23,6
41,12_3,11
42,12_4,7
43,12_5,9
44,12_6,4
45,12_7,9
46,12_8,7
47,12_9,12
48,13_0,12
49,13_1,6
50,13_10,8
51,13_11,8
52,13_12,6
53,13_13,7
54,13_14,6
55,13_15,7
56,13_16,14
57,13_17,9
58,13_18,8
59,13_19,7
60,13_2,5
61,13_20,10
62,13_21,4
63,13_22,4
64,13_23,12
65,13_3,7
66,13_4,5
67,13_5,6
68,13_6,10
69,13_7,5
70,13_8,8
71,13_9,2
72,14_0,3
73,14_1,11
74,14_10,17
75,14_11,11
76,14_12,7
77,14_13,6
78,14_14,6
79,14_15,7
80,14_16,9
81,14_17,6
82,14_18,6
83,14_19,3
84,14_2,11
85,14_20,8
86,14_21,9
87,14_22,7
88,14_23,11
89,14_3,7
90,14_4,5
91,14_5,11
92,14_6,5
93,14_7,5
94,14_8,5
95,14_9,8
96,15_0,7
97,15_1,3
98,15_10,23
99,15_11,20
100,15_12,5
101,15_13,8
102,15_14,28
103,15_15,11
104,15_16,12
105,15_17,13
106,15_18,14
107,15_19,8
108,15_2,10
109,15_20,7
110,15_21,5
111,15_22,11
112,15_23,9
113,15_3,8
114,15_4,9
115,15_5,6
116,15_6,9
117,15_7,9
118,15_8,8
119,15_9,12
120,16_0,9
121,16_1,7
122,16_10,13
123,16_11,12
124,16_12,11
125,16_13,7
126,16_14,14
127,16_15,16
128,16_16,14
129,16_17,17
130,16_18,17
131,16_19,7
132,16_2,8
133,16_20,10
134,16_21,9
135,16_22,7
136,16_23,13
137,16_3,9
138,16_4,4
139,16_5,8
140,16_6,4
141,16_7,11
142,16_8,3
143,16_9,9
144,17_0,7
145,17_1,5
146,17_10,15
147,17_11,10
148,17_12,5
149,17_13,13
150,17_14,13
151,17_15,18
152,17_16,16
153,17_17,15
154,17_18,21
155,17_19,6
156,17_2,8
157,17_20,9
158,17_21,8
159,17_22,12
160,17_23,6
161,17_3,9
162,17_4,8
163,17_5,6
164,17_6,7
165,17_7,19
166,17_8,9
167,17_9,10
168,18_0,6
169,18_1,6
170,18_10,26
171,18_11,7
172,18_12,10
173,18_13,10
174,18_14,16
175,18_15,12
176,18_16,12
177,18_17,3
178,18_18,8
179,18_19,10
180,18_2,8
181,18_20,7
182,18_21,2
183,18_22,8
184,18_23,4
185,18_3,5
186,18_4,5
187,18_5,10
188,18_6,10
189,18_7,5
190,18_8,12
191,18_9,8
