,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,238
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,3701
25,12_1,418
26,12_10,1932
27,12_11,2368
28,12_12,2295
29,12_13,1154
30,12_14,3416
31,12_15,2050
32,12_16,2453
33,12_17,2119
34,12_18,2387
35,12_19,2144
36,12_2,420
37,12_20,1060
38,12_21,437
39,12_22,198
40,12_23,192
41,12_3,206
42,12_4,178
43,12_5,190
44,12_6,190
45,12_7,202
46,12_8,217
47,12_9,1836
48,13_0,223
49,13_1,232
50,13_10,207
51,13_11,220
52,13_12,223
53,13_13,196
54,13_14,1073
55,13_15,1036
56,13_16,2950
57,13_17,18618
58,13_18,2040
59,13_19,217
60,13_2,1472
61,13_20,213
62,13_21,174
63,13_22,212
64,13_23,183
65,13_3,554
66,13_4,1586
67,13_5,207
68,13_6,1399
69,13_7,221
70,13_8,228
71,13_9,355
72,14_0,187
73,14_1,199
74,14_10,332
75,14_11,193
76,14_12,226
77,14_13,374
78,14_14,1457
79,14_15,344
80,14_16,1694
81,14_17,2191
82,14_18,8326
83,14_19,1259
84,14_2,545
85,14_20,328
86,14_21,225
87,14_22,1125
88,14_23,220
89,14_3,213
90,14_4,205
91,14_5,207
92,14_6,197
93,14_7,201
94,14_8,233
95,14_9,222
96,15_0,999
97,15_1,206
98,15_10,1420
99,15_11,1924
100,15_12,1349
101,15_13,1328
102,15_14,2433
103,15_15,2268
104,15_16,4590
105,15_17,2472
106,15_18,2529
107,15_19,2888
108,15_2,187
109,15_20,1421
110,15_21,1398
111,15_22,335
112,15_23,611
113,15_3,206
114,15_4,1214
115,15_5,607
116,15_6,1274
117,15_7,498
118,15_8,187
119,15_9,1585
120,16_0,385
121,16_1,439
122,16_10,1654
123,16_11,1793
124,16_12,500
125,16_13,1070
126,16_14,1160
127,16_15,1899
128,16_16,1720
129,16_17,2356
130,16_18,1690
131,16_19,1315
132,16_2,784
133,16_20,1044
134,16_21,643
135,16_22,867
136,16_23,739
137,16_3,4035
138,16_4,193
139,16_5,235
140,16_6,807
141,16_7,212
142,16_8,1000
143,16_9,901
144,17_0,203
145,17_1,200
146,17_10,1545
147,17_11,952
148,17_12,236
149,17_13,735
150,17_14,1797
151,17_15,2057
152,17_16,2713
153,17_17,3578
154,17_18,7415
155,17_19,2020
156,17_2,546
157,17_20,3871
158,17_21,483
159,17_22,475
160,17_23,547
161,17_3,1195
162,17_4,1254
163,17_5,2049
164,17_6,214
165,17_7,996
166,17_8,209
167,17_9,507
168,18_0,1129
169,18_1,627
170,18_10,2433
171,18_11,1424
172,18_12,1725
173,18_13,392
174,18_14,2635
175,18_15,1517
176,18_16,1199
177,18_17,1771
178,18_18,1339
179,18_19,1352
180,18_2,3069
181,18_20,1024
182,18_21,899
183,18_22,187
184,18_23,214
185,18_3,2080
186,18_4,230
187,18_5,1065
188,18_6,10728
189,18_7,14846
190,18_8,214
191,18_9,822
