dst,src,day_time,num
10.49.137.12,10.49.212.126,05_31_02,112
10.49.137.12,10.49.212.126,05_31_08,110
10.49.137.12,10.49.212.126,06_01_01,1
10.49.137.199,10.49.212.126,05_31_02,692
10.49.137.199,10.49.212.126,06_01_01,1
10.49.137.38,10.49.212.126,05_31_03,110
10.49.137.38,10.49.212.126,05_31_07,177
10.49.137.38,10.49.212.126,06_01_02,1
10.49.137.87,10.49.212.126,05_31_02,110
10.49.137.87,10.49.212.126,05_31_07,952
10.49.137.87,10.49.212.126,05_31_08,610
10.49.137.87,10.49.212.126,06_01_01,1
10.49.148.121,10.49.212.126,05_31_00,221
10.49.148.121,10.49.212.126,06_01_00,2
10.49.148.73,10.49.212.126,05_30_23,1
10.49.148.73,10.49.212.126,05_31_23,2
10.49.178.162,10.49.212.126,05_31_02,79
10.49.178.162,10.49.212.126,05_31_06,145
10.49.178.162,10.49.212.126,06_01_01,76
10.49.180.30,10.49.212.126,05_31_07,1671
10.49.180.30,10.49.212.126,05_31_08,1
10.49.216.62,10.49.212.126,05_31_00,110
10.49.216.62,10.49.212.126,05_31_01,110
10.49.216.62,10.49.212.126,06_01_00,2
10.49.223.163,10.49.212.126,05_31_21,1
10.49.223.194,10.49.212.126,05_31_00,112
10.49.223.194,10.49.212.126,05_31_21,80
10.49.223.194,10.49.212.126,06_01_00,1
10.49.253.159,10.49.212.126,05_31_02,640
10.49.253.159,10.49.212.126,06_01_01,2
10.49.253.219,10.49.212.126,05_31_00,652
10.49.253.219,10.49.212.126,05_31_01,330
10.49.253.219,10.49.212.126,06_01_00,3
10.49.253.35,10.49.212.126,05_31_21,1
10.49.36.147,10.49.212.126,05_31_21,4
10.49.36.147,10.49.212.126,05_31_22,4
10.49.36.161,10.49.212.126,05_30_23,111
10.49.36.161,10.49.212.126,05_31_21,1
10.49.36.161,10.49.212.126,05_31_23,74
10.49.36.233,10.49.212.126,05_31_22,1
10.49.45.55,10.49.212.126,05_31_02,109
10.49.45.55,10.49.212.126,05_31_04,109
10.49.45.55,10.49.212.126,06_01_01,1
10.49.45.55,10.49.212.126,06_01_02,1
10.49.45.64,10.49.212.126,05_31_01,107
10.49.45.64,10.49.212.126,05_31_03,106
10.49.45.64,10.49.212.126,05_31_07,108
10.49.45.64,10.49.212.126,06_01_01,1
10.49.45.64,10.49.212.126,06_01_02,1
10.49.212.126,10.56.34.157,06_05_13,3
