dst,src,day_time,num
10.21.12.198,10.49.21.15,06_03_05,68
10.21.12.198,10.49.21.15,06_05_05,72
10.21.12.198,10.49.21.15,06_05_06,9
10.21.12.198,10.49.21.15,06_06_06,69
10.21.12.198,10.49.21.15,06_07_07,72
10.21.12.198,10.49.21.15,06_09_04,70
10.21.12.198,10.49.21.15,06_10_05,68
10.21.12.198,10.49.21.15,06_12_18,81
10.21.12.198,10.49.21.15,06_13_19,69
10.21.141.252,10.49.21.15,06_01_06,1
10.21.141.252,10.49.21.15,06_01_07,209
10.21.141.252,10.49.21.15,06_02_07,209
10.21.141.252,10.49.21.15,06_03_08,210
10.21.141.252,10.49.21.15,06_04_13,210
10.21.141.252,10.49.21.15,06_04_14,1
10.21.141.252,10.49.21.15,06_05_14,1525
10.21.141.252,10.49.21.15,06_06_15,203
10.21.141.252,10.49.21.15,06_06_16,207
10.21.141.252,10.49.21.15,06_08_04,219
10.21.141.252,10.49.21.15,06_09_05,219
10.21.141.252,10.49.21.15,06_10_06,217
10.21.141.252,10.49.21.15,06_12_19,1534
10.21.249.163,10.49.21.15,06_01_06,206
10.21.249.163,10.49.21.15,06_02_07,210
10.21.249.163,10.49.21.15,06_03_08,210
10.21.249.163,10.49.21.15,06_04_13,210
10.21.249.163,10.49.21.15,06_04_14,1
10.21.249.163,10.49.21.15,06_05_14,210
10.21.249.163,10.49.21.15,06_06_15,204
10.21.249.163,10.49.21.15,06_06_19,210
10.21.249.163,10.49.21.15,06_08_04,765
10.21.249.163,10.49.21.15,06_08_05,856
10.21.249.163,10.49.21.15,06_09_06,214
10.21.249.163,10.49.21.15,06_10_07,210
10.21.249.163,10.49.21.15,06_12_19,210
10.21.249.163,10.49.21.15,06_13_19,192
10.21.249.163,10.49.21.15,06_13_20,19
10.24.139.131,10.49.21.15,06_01_10,2
10.24.139.131,10.49.21.15,06_01_13,3394
10.24.139.131,10.49.21.15,06_01_14,2999
10.24.146.14,10.49.21.15,05_31_05,270
10.24.146.14,10.49.21.15,06_01_08,271
10.24.146.14,10.49.21.15,06_02_09,268
10.24.146.14,10.49.21.15,06_03_10,260
10.24.146.14,10.49.21.15,06_05_07,1307
10.24.146.14,10.49.21.15,06_05_08,277
10.24.146.14,10.49.21.15,06_06_09,263
10.24.146.14,10.49.21.15,06_07_09,290
10.24.146.14,10.49.21.15,06_10_04,522
10.24.146.14,10.49.21.15,06_13_00,1585
10.24.146.212,10.49.21.15,05_31_09,10
10.24.146.212,10.49.21.15,06_03_08,10
10.24.146.212,10.49.21.15,06_05_14,13
10.24.146.212,10.49.21.15,06_05_15,17
10.24.146.212,10.49.21.15,06_06_16,10
10.24.146.212,10.49.21.15,06_08_05,11
10.24.146.212,10.49.21.15,06_09_06,13
10.24.146.212,10.49.21.15,06_10_07,10
10.24.146.212,10.49.21.15,06_13_00,31
10.24.172.183,10.49.21.15,05_31_01,202
10.24.172.183,10.49.21.15,05_31_02,4
10.24.172.183,10.49.21.15,06_01_10,208
10.24.172.183,10.49.21.15,06_02_11,203
10.24.172.183,10.49.21.15,06_03_12,209
10.24.172.183,10.49.21.15,06_06_23,1727
10.24.172.183,10.49.21.15,06_08_06,216
10.24.172.183,10.49.21.15,06_09_07,214
10.24.172.183,10.49.21.15,06_10_08,207
10.24.172.183,10.49.21.15,06_13_06,208
10.24.172.183,10.49.21.15,06_13_11,2943
10.24.243.141,10.49.21.15,06_02_06,204
10.24.243.141,10.49.21.15,06_03_06,208
10.24.243.141,10.49.21.15,06_04_08,1908
10.24.243.141,10.49.21.15,06_04_09,1109
10.24.243.141,10.49.21.15,06_06_05,204
10.24.243.141,10.49.21.15,06_08_05,216
10.24.243.141,10.49.21.15,06_09_06,212
10.24.243.141,10.49.21.15,06_10_07,202
10.24.243.141,10.49.21.15,06_13_06,1509
10.24.249.104,10.49.21.15,05_31_05,641
10.24.249.104,10.49.21.15,05_31_11,4476
10.24.249.104,10.49.21.15,06_01_10,641
10.24.249.104,10.49.21.15,06_01_14,2242
10.24.249.104,10.49.21.15,06_03_04,641
10.24.249.104,10.49.21.15,06_03_17,2254
10.24.249.104,10.49.21.15,06_05_19,5104
10.24.249.104,10.49.21.15,06_05_20,6425
10.24.249.104,10.49.21.15,06_07_04,4853
10.24.249.104,10.49.21.15,06_08_06,681
10.24.249.104,10.49.21.15,06_09_07,681
10.24.249.104,10.49.21.15,06_10_08,641
10.24.249.104,10.49.21.15,06_10_17,1831
10.24.249.104,10.49.21.15,06_10_18,486
10.24.249.104,10.49.21.15,06_12_09,2249
10.24.249.104,10.49.21.15,06_13_07,641
10.24.249.104,10.49.21.15,06_13_15,1603
10.24.249.104,10.49.21.15,06_13_16,9901
10.24.249.104,10.49.21.15,06_13_18,2133
10.24.49.154,10.49.21.15,05_31_01,192
10.24.49.154,10.49.21.15,05_31_02,787
10.24.49.154,10.49.21.15,05_31_10,273
10.24.49.154,10.49.21.15,05_31_12,805
10.24.49.154,10.49.21.15,05_31_13,14294
10.24.49.154,10.49.21.15,05_31_14,426
10.24.49.154,10.49.21.15,05_31_15,432
10.24.49.154,10.49.21.15,06_01_05,1250
10.24.49.154,10.49.21.15,06_01_07,37021
10.24.49.154,10.49.21.15,06_01_08,1016
10.24.49.154,10.49.21.15,06_01_09,209
10.24.49.154,10.49.21.15,06_01_11,376
10.24.49.154,10.49.21.15,06_01_13,496
10.24.49.154,10.49.21.15,06_01_14,163
10.24.49.154,10.49.21.15,06_02_05,391
10.24.49.154,10.49.21.15,06_02_13,18
10.24.49.154,10.49.21.15,06_02_14,373
10.24.49.154,10.49.21.15,06_03_00,208
10.24.49.154,10.49.21.15,06_03_06,381
10.24.49.154,10.49.21.15,06_03_07,9
10.24.49.154,10.49.21.15,06_03_09,9476
10.24.49.154,10.49.21.15,06_03_12,272
10.24.49.154,10.49.21.15,06_03_15,6657
10.24.49.154,10.49.21.15,06_03_16,659
10.24.49.154,10.49.21.15,06_03_17,4050
10.24.49.154,10.49.21.15,06_03_18,72
10.24.49.154,10.49.21.15,06_03_19,525
10.24.49.154,10.49.21.15,06_03_20,2795
10.24.49.154,10.49.21.15,06_04_00,58
10.24.49.154,10.49.21.15,06_04_01,1362
10.24.49.154,10.49.21.15,06_04_02,1978
10.24.49.154,10.49.21.15,06_04_19,2019
10.24.49.154,10.49.21.15,06_04_23,2698
10.24.49.154,10.49.21.15,06_05_00,84
10.24.49.154,10.49.21.15,06_05_01,2626
10.24.49.154,10.49.21.15,06_05_05,4371
10.24.49.154,10.49.21.15,06_05_06,1793
10.24.49.154,10.49.21.15,06_05_07,62
10.24.49.154,10.49.21.15,06_05_10,3667
10.24.49.154,10.49.21.15,06_05_13,824
10.24.49.154,10.49.21.15,06_05_16,5287
10.24.49.154,10.49.21.15,06_05_17,2166
10.24.49.154,10.49.21.15,06_05_19,13650
10.24.49.154,10.49.21.15,06_06_01,396
10.24.49.154,10.49.21.15,06_06_02,394
10.24.49.154,10.49.21.15,06_06_13,474
10.24.49.154,10.49.21.15,06_06_14,330
10.24.49.154,10.49.21.15,06_06_16,1033
10.24.49.154,10.49.21.15,06_06_18,4964
10.24.49.154,10.49.21.15,06_06_19,21660
10.24.49.154,10.49.21.15,06_06_23,1543
10.24.49.154,10.49.21.15,06_07_00,625
10.24.49.154,10.49.21.15,06_07_01,415
10.24.49.154,10.49.21.15,06_08_05,556
10.24.49.154,10.49.21.15,06_08_06,471
10.24.49.154,10.49.21.15,06_08_07,1
