dst,src,day_time,num
10.21.12.198,10.49.231.206,05_31_05,21
10.21.12.198,10.49.231.206,06_10_10,22
10.21.141.252,10.49.231.206,05_31_06,14
10.21.141.252,10.49.231.206,05_31_21,2185
10.21.141.252,10.49.231.206,06_01_21,2187
10.21.141.252,10.49.231.206,06_02_21,2187
10.21.141.252,10.49.231.206,06_10_10,15
10.21.249.163,10.49.231.206,06_12_22,20
10.23.182.4,10.49.231.206,05_31_03,13
10.23.182.4,10.49.231.206,06_03_00,1
10.23.182.4,10.49.231.206,06_04_00,1
10.23.182.4,10.49.231.206,06_04_21,1
10.23.182.4,10.49.231.206,06_05_21,1
10.23.182.4,10.49.231.206,06_06_21,1
10.23.182.4,10.49.231.206,06_07_20,1
10.23.182.4,10.49.231.206,06_08_20,1
10.23.182.4,10.49.231.206,06_09_20,1
10.23.182.4,10.49.231.206,06_10_09,14
10.23.182.4,10.49.231.206,06_10_20,1
10.23.182.4,10.49.231.206,06_11_21,1
10.23.182.4,10.49.231.206,06_12_21,1
10.23.182.4,10.49.231.206,06_13_21,1
10.24.139.131,10.49.231.206,06_10_02,106
10.24.146.14,10.49.231.206,05_31_01,34
10.24.146.14,10.49.231.206,05_31_03,1153
10.24.146.14,10.49.231.206,06_01_02,1165
10.24.146.14,10.49.231.206,06_02_02,1160
10.24.146.14,10.49.231.206,06_03_01,1162
10.24.146.14,10.49.231.206,06_04_02,1153
10.24.146.14,10.49.231.206,06_10_07,36
10.24.146.212,10.49.231.206,05_31_01,123
10.24.146.212,10.49.231.206,06_10_06,7
10.24.172.183,10.49.231.206,06_02_02,18
10.24.172.183,10.49.231.206,06_12_06,19
10.24.243.141,10.49.231.206,06_02_06,24
10.24.243.141,10.49.231.206,06_12_10,24
10.24.249.104,10.49.231.206,06_02_12,58
10.24.249.104,10.49.231.206,06_12_21,59
10.24.49.154,10.49.231.206,06_02_11,22
10.24.49.154,10.49.231.206,06_12_19,22
10.24.64.118,10.49.231.206,06_02_13,16
10.24.64.118,10.49.231.206,06_12_22,17
10.24.64.39,10.49.231.206,06_02_05,47
10.24.64.39,10.49.231.206,06_12_09,47
10.24.73.248,10.49.231.206,06_02_09,22
10.24.73.248,10.49.231.206,06_12_16,22
10.26.139.186,10.49.231.206,05_30_23,3
10.26.139.186,10.49.231.206,05_31_23,178
10.26.139.186,10.49.231.206,06_01_23,178
10.26.139.186,10.49.231.206,06_02_22,9
10.26.139.186,10.49.231.206,06_03_23,247
10.26.139.186,10.49.231.206,06_04_19,178
10.26.139.186,10.49.231.206,06_05_19,173
10.26.139.186,10.49.231.206,06_06_19,177
10.26.139.186,10.49.231.206,06_07_18,185
10.26.139.186,10.49.231.206,06_08_18,187
10.26.139.186,10.49.231.206,06_09_18,327
10.26.139.186,10.49.231.206,06_10_18,180
10.26.139.186,10.49.231.206,06_11_19,176
10.26.139.186,10.49.231.206,06_12_19,104
10.26.139.186,10.49.231.206,06_13_19,171
10.26.139.32,10.49.231.206,05_31_00,634
10.26.139.32,10.49.231.206,06_01_00,3
10.26.139.32,10.49.231.206,06_02_00,3
10.26.139.32,10.49.231.206,06_02_23,2
10.26.139.32,10.49.231.206,06_03_23,3
10.26.139.32,10.49.231.206,06_09_20,74
10.26.54.255,10.49.231.206,05_31_01,1137
10.26.54.255,10.49.231.206,06_01_01,177
10.26.54.255,10.49.231.206,06_02_01,232
10.26.54.255,10.49.231.206,06_03_00,654
10.26.54.255,10.49.231.206,06_04_00,1106
10.26.54.255,10.49.231.206,06_04_21,152
10.26.54.255,10.49.231.206,06_05_21,228
10.26.54.255,10.49.231.206,06_06_21,1141
10.26.54.255,10.49.231.206,06_07_20,239
10.26.54.255,10.49.231.206,06_08_20,241
10.26.54.255,10.49.231.206,06_09_19,70
10.26.86.146,10.49.231.206,05_31_20,1144
10.26.86.146,10.49.231.206,06_02_20,250
10.26.86.146,10.49.231.206,06_03_20,1124
10.26.86.146,10.49.231.206,06_04_20,231
10.26.86.146,10.49.231.206,06_05_20,231
10.26.86.146,10.49.231.206,06_06_20,177
10.26.86.146,10.49.231.206,06_07_19,246
10.26.86.146,10.49.231.206,06_08_19,242
10.26.86.146,10.49.231.206,06_09_19,320
10.26.86.146,10.49.231.206,06_10_19,348
10.26.86.146,10.49.231.206,06_11_20,231
10.26.86.146,10.49.231.206,06_12_20,434
10.26.86.146,10.49.231.206,06_13_20,231
10.26.99.24,10.49.231.206,05_31_01,2030
10.26.99.24,10.49.231.206,06_01_00,1227
10.26.99.24,10.49.231.206,06_02_00,2161
10.26.99.24,10.49.231.206,06_02_23,3
10.26.99.24,10.49.231.206,06_04_00,3
10.26.99.24,10.49.231.206,06_09_17,77
10.30.150.54,10.49.231.206,06_03_20,1
10.30.150.54,10.49.231.206,06_04_20,1
10.30.150.54,10.49.231.206,06_06_20,1
10.30.150.54,10.49.231.206,06_07_19,1
10.30.150.54,10.49.231.206,06_09_19,1
10.30.150.54,10.49.231.206,06_10_19,1
10.30.150.54,10.49.231.206,06_11_20,1
10.30.150.54,10.49.231.206,06_13_20,1
10.32.243.30,10.49.231.206,06_12_06,38
10.32.42.48,10.49.231.206,06_12_08,16
10.32.49.189,10.49.231.206,06_12_18,22
10.33.68.19,10.49.231.206,05_31_01,1173
10.33.68.19,10.49.231.206,06_01_01,1171
10.33.68.19,10.49.231.206,06_02_01,1173
10.33.68.19,10.49.231.206,06_03_00,1172
10.33.68.19,10.49.231.206,06_04_00,1174
10.35.1.178,10.49.231.206,05_31_21,2173
10.35.1.226,10.49.231.206,05_31_21,2150
10.35.1.226,10.49.231.206,06_01_21,2151
10.35.1.226,10.49.231.206,06_02_21,265
10.35.1.226,10.49.231.206,06_03_21,2156
10.35.1.226,10.49.231.206,06_04_22,2129
10.35.69.139,10.49.231.206,05_31_01,10
10.35.69.139,10.49.231.206,06_01_00,10
10.35.69.139,10.49.231.206,06_02_00,10
10.35.69.139,10.49.231.206,06_02_23,8
10.35.69.139,10.49.231.206,06_09_05,34
10.35.70.252,10.49.231.206,05_31_03,3168
10.35.70.252,10.49.231.206,06_01_03,3356
10.35.70.252,10.49.231.206,06_02_03,3354
10.35.70.252,10.49.231.206,06_03_02,3357
10.35.70.252,10.49.231.206,06_04_02,3357
10.35.70.252,10.49.231.206,06_05_01,3353
10.35.70.252,10.49.231.206,06_06_00,3356
10.35.70.252,10.49.231.206,06_06_23,3820
10.35.70.252,10.49.231.206,06_07_23,3524
10.35.70.252,10.49.231.206,06_08_23,3506
10.35.70.252,10.49.231.206,06_09_23,3357
10.35.70.252,10.49.231.206,06_11_00,3336
10.35.70.252,10.49.231.206,06_12_00,2041
10.35.70.252,10.49.231.206,06_13_00,2990
10.35.82.21,10.49.231.206,06_07_18,1229
10.35.82.21,10.49.231.206,06_08_18,1241
10.35.82.21,10.49.231.206,06_09_06,17
10.35.82.21,10.49.231.206,06_09_18,1226
10.35.82.21,10.49.231.206,06_10_18,1229
10.35.82.21,10.49.231.206,06_11_19,1112
10.35.82.21,10.49.231.206,06_12_19,1146
10.35.82.21,10.49.231.206,06_13_19,1118
10.36.15.98,10.49.231.206,05_31_04,1
10.36.15.98,10.49.231.206,06_01_03,1
10.36.15.98,10.49.231.206,06_02_03,2
10.36.15.98,10.49.231.206,06_03_02,1
10.36.15.98,10.49.231.206,06_04_03,1
10.36.15.98,10.49.231.206,06_05_02,1
10.36.15.98,10.49.231.206,06_06_01,1
10.36.15.98,10.49.231.206,06_07_00,1
10.36.15.98,10.49.231.206,06_08_00,1
10.37.54.179,10.49.231.206,05_31_02,1161
10.37.54.179,10.49.231.206,06_01_01,26
10.37.54.179,10.49.231.206,06_01_02,1155
10.37.54.179,10.49.231.206,06_02_02,1170
10.37.54.179,10.49.231.206,06_03_01,1158
10.37.54.179,10.49.231.206,06_04_02,1176
10.37.54.179,10.49.231.206,06_11_00,21
10.39.11.174,10.49.231.206,06_08_13,23
10.39.11.174,10.49.231.206,06_09_22,8
