dst,src,day_time,num
10.49.223.194,10.49.212.162,05_31_05,1
10.49.223.194,10.49.212.162,05_31_08,10
10.49.223.194,10.49.212.162,05_31_09,100
10.49.223.194,10.49.212.162,05_31_10,929
10.49.223.194,10.49.212.162,05_31_11,861
10.49.223.194,10.49.212.162,05_31_12,62
10.49.223.194,10.49.212.162,05_31_13,21
10.49.223.194,10.49.212.162,05_31_14,113
10.49.223.194,10.49.212.162,05_31_15,40
10.49.223.194,10.49.212.162,05_31_16,229
10.49.223.194,10.49.212.162,05_31_17,33
10.49.223.194,10.49.212.162,05_31_18,124
10.49.223.194,10.49.212.162,05_31_19,56
10.49.223.194,10.49.212.162,05_31_20,4
10.49.223.194,10.49.212.162,05_31_21,3
10.49.223.194,10.49.212.162,05_31_22,18
10.49.223.194,10.49.212.162,05_31_23,2
10.49.223.194,10.49.212.162,06_01_00,1
10.49.223.194,10.49.212.162,06_01_05,2
10.49.223.194,10.49.212.162,06_01_09,1
10.49.223.194,10.49.212.162,06_01_10,808
10.49.223.194,10.49.212.162,06_01_11,768
10.49.223.194,10.49.212.162,06_01_12,5
10.49.223.194,10.49.212.162,06_01_13,2
10.49.223.194,10.49.212.162,06_01_15,3
10.49.223.194,10.49.212.162,06_01_16,17
10.49.223.194,10.49.212.162,06_01_17,1
10.49.223.194,10.49.212.162,06_01_19,1
10.49.223.194,10.49.212.162,06_01_20,8
10.49.223.194,10.49.212.162,06_02_09,2
10.49.223.194,10.49.212.162,06_02_10,772
10.49.223.194,10.49.212.162,06_02_11,772
10.49.223.194,10.49.212.162,06_02_12,2
10.49.223.194,10.49.212.162,06_02_13,2
10.49.223.194,10.49.212.162,06_02_14,344
10.49.223.194,10.49.212.162,06_02_15,47
10.49.223.194,10.49.212.162,06_02_16,5
10.49.223.194,10.49.212.162,06_02_17,18
10.49.223.194,10.49.212.162,06_02_18,1
10.49.223.194,10.49.212.162,06_02_20,2
10.49.223.194,10.49.212.162,06_03_08,3
10.49.223.194,10.49.212.162,06_03_09,72
10.49.223.194,10.49.212.162,06_03_10,851
10.49.223.194,10.49.212.162,06_03_11,785
10.49.223.194,10.49.212.162,06_03_12,69
10.49.223.194,10.49.212.162,06_03_13,50
10.49.223.194,10.49.212.162,06_03_14,34
10.49.223.194,10.49.212.162,06_03_15,47
10.49.223.194,10.49.212.162,06_03_16,33
10.49.223.194,10.49.212.162,06_03_17,43
10.49.223.194,10.49.212.162,06_03_18,208
10.49.223.194,10.49.212.162,06_03_19,54
10.49.223.194,10.49.212.162,06_03_20,77
10.49.223.194,10.49.212.162,06_03_21,6
10.49.223.194,10.49.212.162,06_03_22,1
10.49.223.194,10.49.212.162,06_04_08,1
10.49.223.194,10.49.212.162,06_04_09,43
10.49.223.194,10.49.212.162,06_04_10,1198
10.49.223.194,10.49.212.162,06_04_11,904
10.49.223.194,10.49.212.162,06_04_12,93
10.49.223.194,10.49.212.162,06_04_13,28
10.49.223.194,10.49.212.162,06_04_14,135
10.49.223.194,10.49.212.162,06_04_15,49
10.49.223.194,10.49.212.162,06_04_16,33
10.49.223.194,10.49.212.162,06_04_17,35
10.49.223.194,10.49.212.162,06_04_18,171
10.49.223.194,10.49.212.162,06_04_19,49
10.49.223.194,10.49.212.162,06_04_20,8
10.49.223.194,10.49.212.162,06_04_21,13
10.49.223.194,10.49.212.162,06_04_22,27
10.49.223.194,10.49.212.162,06_04_23,1
10.49.223.194,10.49.212.162,06_05_05,1
10.49.223.194,10.49.212.162,06_05_07,2
10.49.223.194,10.49.212.162,06_05_08,2
10.49.223.194,10.49.212.162,06_05_09,102
10.49.223.194,10.49.212.162,06_05_10,55
10.49.223.194,10.49.212.162,06_05_11,780
10.49.223.194,10.49.212.162,06_05_12,16
10.49.223.194,10.49.212.162,06_05_13,16
10.49.223.194,10.49.212.162,06_05_14,107
10.49.223.194,10.49.212.162,06_05_15,77
10.49.223.194,10.49.212.162,06_05_16,107
10.49.223.194,10.49.212.162,06_05_17,44
10.49.223.194,10.49.212.162,06_05_18,94
10.49.223.194,10.49.212.162,06_05_19,103
10.49.223.194,10.49.212.162,06_05_20,5
10.49.223.194,10.49.212.162,06_05_21,2
10.49.223.194,10.49.212.162,06_06_08,1
10.49.223.194,10.49.212.162,06_06_09,25
10.49.223.194,10.49.212.162,06_06_10,86
10.49.223.194,10.49.212.162,06_06_11,826
10.49.223.194,10.49.212.162,06_06_12,4
10.49.223.194,10.49.212.162,06_06_13,5
10.49.223.194,10.49.212.162,06_06_14,27
10.49.223.194,10.49.212.162,06_06_15,15
10.49.223.194,10.49.212.162,06_06_16,15
10.49.223.194,10.49.212.162,06_06_17,47
10.49.223.194,10.49.212.162,06_06_18,15
10.49.223.194,10.49.212.162,06_06_19,6
10.49.223.194,10.49.212.162,06_06_20,4
10.49.223.194,10.49.212.162,06_06_21,1
10.49.223.194,10.49.212.162,06_07_09,583
10.49.223.194,10.49.212.162,06_07_10,818
10.49.223.194,10.49.212.162,06_07_11,5
10.49.223.194,10.49.212.162,06_07_13,1
10.49.223.194,10.49.212.162,06_07_15,10
10.49.223.194,10.49.212.162,06_07_18,1
10.49.223.194,10.49.212.162,06_08_09,797
10.49.223.194,10.49.212.162,06_08_10,803
10.49.223.194,10.49.212.162,06_08_11,3
10.49.223.194,10.49.212.162,06_08_14,1
10.49.223.194,10.49.212.162,06_08_20,1
10.49.223.194,10.49.212.162,06_08_21,1
10.49.223.194,10.49.212.162,06_09_08,1
10.49.223.194,10.49.212.162,06_09_09,817
10.49.223.194,10.49.212.162,06_09_10,824
10.49.223.194,10.49.212.162,06_09_11,2
10.49.223.194,10.49.212.162,06_09_12,2
10.49.223.194,10.49.212.162,06_09_13,2
10.49.223.194,10.49.212.162,06_09_14,2
10.49.223.194,10.49.212.162,06_09_16,1
10.49.223.194,10.49.212.162,06_09_19,5
10.49.223.194,10.49.212.162,06_09_20,1
10.49.223.194,10.49.212.162,06_10_07,1
10.49.223.194,10.49.212.162,06_10_08,19
10.49.223.194,10.49.212.162,06_10_09,163
10.49.223.194,10.49.212.162,06_10_10,856
10.49.223.194,10.49.212.162,06_10_11,32
10.49.223.194,10.49.212.162,06_10_12,78
10.49.223.194,10.49.212.162,06_10_13,103
10.49.223.194,10.49.212.162,06_10_14,60
10.49.223.194,10.49.212.162,06_10_15,49
10.49.223.194,10.49.212.162,06_10_16,15
10.49.223.194,10.49.212.162,06_10_17,20
10.49.223.194,10.49.212.162,06_10_18,10
10.49.223.194,10.49.212.162,06_10_19,5
10.49.223.194,10.49.212.162,06_10_20,4
10.49.223.194,10.49.212.162,06_10_21,12
10.49.223.194,10.49.212.162,06_10_22,2
10.49.223.194,10.49.212.162,06_11_08,6
10.49.223.194,10.49.212.162,06_11_09,41
10.49.223.194,10.49.212.162,06_11_10,95
10.49.223.194,10.49.212.162,06_11_11,906
10.49.223.194,10.49.212.162,06_11_12,8
10.49.223.194,10.49.212.162,06_11_13,24
10.49.223.194,10.49.212.162,06_11_14,61
10.49.223.194,10.49.212.162,06_11_15,17
10.49.223.194,10.49.212.162,06_11_16,31
10.49.223.194,10.49.212.162,06_11_17,235
10.49.223.194,10.49.212.162,06_11_18,600
10.49.223.194,10.49.212.162,06_11_19,878
10.49.223.194,10.49.212.162,06_11_20,2246
10.49.223.194,10.49.212.162,06_11_21,6438
10.49.223.194,10.49.212.162,06_11_22,2
10.49.223.194,10.49.212.162,06_11_23,1
10.49.223.194,10.49.212.162,06_12_00,1
10.49.223.194,10.49.212.162,06_12_08,4
10.49.223.194,10.49.212.162,06_12_09,92
10.49.223.194,10.49.212.162,06_12_10,828
10.49.223.194,10.49.212.162,06_12_11,844
10.49.223.194,10.49.212.162,06_12_12,13
10.49.223.194,10.49.212.162,06_12_13,130
10.49.223.194,10.49.212.162,06_12_14,40
10.49.223.194,10.49.212.162,06_12_15,83
10.49.223.194,10.49.212.162,06_12_16,149
10.49.223.194,10.49.212.162,06_12_17,106
10.49.223.194,10.49.212.162,06_12_18,50
10.49.223.194,10.49.212.162,06_12_19,21
10.49.223.194,10.49.212.162,06_12_20,5
10.49.223.194,10.49.212.162,06_12_21,6
10.49.223.194,10.49.212.162,06_12_22,27
10.49.223.194,10.49.212.162,06_13_07,2
10.49.223.194,10.49.212.162,06_13_09,24610
10.49.223.194,10.49.212.162,06_13_10,162222
10.49.223.194,10.49.212.162,06_13_11,800
10.49.223.194,10.49.212.162,06_13_12,7
10.49.223.194,10.49.212.162,06_13_13,18
10.49.223.194,10.49.212.162,06_13_14,7935
10.49.223.194,10.49.212.162,06_13_15,2401
10.49.223.194,10.49.212.162,06_13_16,15
10.49.223.194,10.49.212.162,06_13_17,13
10.49.223.194,10.49.212.162,06_13_18,48
10.49.223.194,10.49.212.162,06_13_19,23
10.49.223.194,10.49.212.162,06_13_20,3
10.49.223.194,10.49.212.162,06_13_21,41
10.49.223.194,10.49.212.162,06_13_22,2
