dst,src,day_time,num
10.39.11.174,10.49.137.166,05_31_09,604
10.39.11.174,10.49.137.166,05_31_10,7471
10.39.11.174,10.49.137.166,06_01_10,9311
10.39.11.174,10.49.137.166,06_05_10,8113
10.39.11.174,10.49.137.166,06_05_19,9126
10.39.11.174,10.49.137.166,06_12_17,7005
10.39.11.174,10.49.137.166,06_13_06,4953
10.39.11.174,10.49.137.166,06_13_15,4921
10.39.11.174,10.49.137.166,06_13_16,2
10.39.11.174,10.49.137.166,06_13_18,10935
10.40.53.183,10.49.137.166,05_31_09,2
10.40.53.183,10.49.137.166,05_31_10,2
10.40.53.183,10.49.137.166,05_31_11,10
10.40.53.183,10.49.137.166,05_31_14,2
10.40.53.183,10.49.137.166,05_31_15,326
10.40.53.183,10.49.137.166,05_31_16,108
10.40.53.183,10.49.137.166,05_31_17,672
10.40.53.183,10.49.137.166,05_31_18,1015
10.40.53.183,10.49.137.166,05_31_19,27
10.40.53.183,10.49.137.166,05_31_20,5
10.40.53.183,10.49.137.166,06_01_05,10256
10.40.53.183,10.49.137.166,06_01_06,1884
10.40.53.183,10.49.137.166,06_01_08,5228
10.40.53.183,10.49.137.166,06_01_10,3365
10.40.53.183,10.49.137.166,06_01_13,21
10.40.53.183,10.49.137.166,06_01_14,1328
10.40.53.183,10.49.137.166,06_03_11,1264
10.40.53.183,10.49.137.166,06_03_12,1782
10.40.53.183,10.49.137.166,06_03_13,1774
10.40.53.183,10.49.137.166,06_03_14,1748
10.40.53.183,10.49.137.166,06_03_15,20
10.40.53.183,10.49.137.166,06_03_16,8
10.40.53.183,10.49.137.166,06_03_18,4
10.40.53.183,10.49.137.166,06_03_19,3719
10.40.53.183,10.49.137.166,06_03_20,1522
10.40.53.183,10.49.137.166,06_03_21,2
10.40.53.183,10.49.137.166,06_04_10,1
10.40.53.183,10.49.137.166,06_04_12,4
10.40.53.183,10.49.137.166,06_04_13,7
10.40.53.183,10.49.137.166,06_04_14,45
10.40.53.183,10.49.137.166,06_04_15,7
10.40.53.183,10.49.137.166,06_04_16,18
10.40.53.183,10.49.137.166,06_04_17,593
10.40.53.183,10.49.137.166,06_04_18,45
10.40.53.183,10.49.137.166,06_04_19,639
10.40.53.183,10.49.137.166,06_05_05,3514
10.40.53.183,10.49.137.166,06_05_09,1132
10.40.53.183,10.49.137.166,06_05_10,41
10.40.53.183,10.49.137.166,06_05_11,30
10.40.53.183,10.49.137.166,06_05_12,14
10.40.53.183,10.49.137.166,06_05_13,1223
10.40.53.183,10.49.137.166,06_05_14,1056
10.40.53.183,10.49.137.166,06_05_15,5
10.40.53.183,10.49.137.166,06_05_16,1983
10.40.53.183,10.49.137.166,06_05_17,5346
10.40.53.183,10.49.137.166,06_05_18,53
10.40.53.183,10.49.137.166,06_05_19,21
10.40.53.183,10.49.137.166,06_05_20,11
10.40.53.183,10.49.137.166,06_06_05,801
10.40.53.183,10.49.137.166,06_06_06,171
10.40.53.183,10.49.137.166,06_06_10,1307
10.40.53.183,10.49.137.166,06_06_18,1
10.40.53.183,10.49.137.166,06_06_19,1481
10.40.53.183,10.49.137.166,06_10_08,1
10.40.53.183,10.49.137.166,06_10_13,2
10.40.53.183,10.49.137.166,06_10_14,4
10.40.53.183,10.49.137.166,06_10_15,1421
10.40.53.183,10.49.137.166,06_10_16,1391
10.40.53.183,10.49.137.166,06_10_17,2099
10.40.53.183,10.49.137.166,06_11_18,17
10.40.53.183,10.49.137.166,06_11_19,1
10.40.53.183,10.49.137.166,06_11_20,2846
10.40.53.183,10.49.137.166,06_12_14,1359
10.40.53.183,10.49.137.166,06_12_15,17
10.40.53.183,10.49.137.166,06_12_16,7
10.40.53.183,10.49.137.166,06_12_17,1370
10.40.53.183,10.49.137.166,06_13_06,2
10.40.53.183,10.49.137.166,06_13_07,1072
10.40.53.183,10.49.137.166,06_13_09,1
10.40.53.183,10.49.137.166,06_13_11,2632
10.40.53.183,10.49.137.166,06_13_13,27
10.40.53.183,10.49.137.166,06_13_14,88
10.40.53.183,10.49.137.166,06_13_15,1921
10.40.53.183,10.49.137.166,06_13_16,1843
10.40.53.183,10.49.137.166,06_13_17,74
10.40.53.183,10.49.137.166,06_13_18,2813
10.40.53.183,10.49.137.166,06_13_19,1315
10.40.53.183,10.49.137.166,06_13_20,1340
10.49.137.166,10.56.92.26,05_31_09,318
10.49.137.166,10.56.92.26,05_31_10,229
10.49.137.166,10.56.92.26,05_31_11,19
10.49.137.166,10.56.92.26,05_31_12,506
10.49.137.166,10.56.92.26,05_31_13,516
10.49.137.166,10.56.92.26,05_31_14,354
10.49.137.166,10.56.92.26,05_31_15,110
10.49.137.166,10.56.92.26,05_31_16,34
10.49.137.166,10.56.92.26,05_31_17,128
10.49.137.166,10.56.92.26,05_31_18,70
10.49.137.166,10.56.92.26,05_31_19,131
10.49.137.166,10.56.92.26,05_31_20,37
10.49.137.166,10.56.92.26,06_03_09,5044
10.49.137.166,10.56.92.26,06_03_10,1702
10.49.137.166,10.56.92.26,06_03_11,454
10.49.137.166,10.56.92.26,06_03_12,1411
10.49.137.166,10.56.92.26,06_03_13,775
10.49.137.166,10.56.92.26,06_03_14,1059
10.49.137.166,10.56.92.26,06_03_15,668
10.49.137.166,10.56.92.26,06_03_16,1339
10.49.137.166,10.56.92.26,06_03_17,812
10.49.137.166,10.56.92.26,06_03_18,305
10.49.137.166,10.56.92.26,06_03_19,1
10.49.137.166,10.56.92.26,06_04_09,791
10.49.137.166,10.56.92.26,06_04_10,378
10.49.137.166,10.56.92.26,06_04_11,285
10.49.137.166,10.56.92.26,06_04_12,224
10.49.137.166,10.56.92.26,06_04_13,2593
10.49.137.166,10.56.92.26,06_04_14,1242
10.49.137.166,10.56.92.26,06_04_15,2377
10.49.137.166,10.56.92.26,06_04_16,653
10.49.137.166,10.56.92.26,06_04_17,2041
10.49.137.166,10.56.92.26,06_04_18,388
10.49.137.166,10.56.92.26,06_04_19,185
10.49.137.166,10.56.92.26,06_05_09,208
10.49.137.166,10.56.92.26,06_05_10,2485
10.49.137.166,10.56.92.26,06_05_11,1535
10.49.137.166,10.56.92.26,06_05_12,215
10.49.137.166,10.56.92.26,06_05_13,318
10.49.137.166,10.56.92.26,06_05_14,444
10.49.137.166,10.56.92.26,06_05_15,6277
