,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,1
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,14
25,12_1,9
26,12_10,98
27,12_11,116
28,12_12,60
29,12_13,48
30,12_14,69
31,12_15,66
32,12_16,35
33,12_17,46
34,12_18,49
35,12_19,57
36,12_2,9
37,12_20,102
38,12_21,42
39,12_22,21
40,12_23,7
41,12_3,12
42,12_4,9
43,12_5,12
44,12_6,11
45,12_7,15
46,12_8,12
47,12_9,158
48,13_0,11
49,13_1,8
50,13_10,44
51,13_11,35
52,13_12,56
53,13_13,63
54,13_14,54
55,13_15,50
56,13_16,59
57,13_17,99
58,13_18,71
59,13_19,28
60,13_2,15
61,13_20,9
62,13_21,7
63,13_22,15
64,13_23,10
65,13_3,13
66,13_4,10
67,13_5,6
68,13_6,6
69,13_7,12
70,13_8,11
71,13_9,24
72,14_0,16
73,14_1,14
74,14_10,18
75,14_11,17
76,14_12,11
77,14_13,12
78,14_14,9
79,14_15,14
80,14_16,17
81,14_17,15
82,14_18,18
83,14_19,12
84,14_2,15
85,14_20,7
86,14_21,14
87,14_22,11
88,14_23,23
89,14_3,8
90,14_4,13
91,14_5,11
92,14_6,20
93,14_7,5
94,14_8,15
95,14_9,12
96,15_0,8
97,15_1,14
98,15_10,53
99,15_11,59
100,15_12,67
101,15_13,93
102,15_14,62
103,15_15,49
104,15_16,56
105,15_17,76
106,15_18,71
107,15_19,44
108,15_2,8
109,15_20,68
110,15_21,212
111,15_22,135
112,15_23,138
113,15_3,18
114,15_4,7
115,15_5,13
116,15_6,13
117,15_7,9
118,15_8,13
119,15_9,26
120,16_0,103
121,16_1,113
122,16_10,76
123,16_11,60
124,16_12,40
125,16_13,53
126,16_14,53
127,16_15,48
128,16_16,39
129,16_17,21
130,16_18,9
131,16_19,9
132,16_2,108
133,16_20,11
134,16_21,14
135,16_22,14
136,16_23,15
137,16_3,15
138,16_4,19
139,16_5,33
140,16_6,29
141,16_7,37
142,16_8,33
143,16_9,95
144,17_0,12
145,17_1,10
146,17_10,74
147,17_11,48
148,17_12,23
149,17_13,48
150,17_14,50
151,17_15,93
152,17_16,92
153,17_17,26
154,17_18,0
155,17_19,0
156,17_2,7
157,17_20,0
158,17_21,0
159,17_22,0
160,17_23,0
161,17_3,9
162,17_4,15
163,17_5,7
164,17_6,12
165,17_7,14
166,17_8,9
167,17_9,46
168,18_0,0
169,18_1,0
170,18_10,0
171,18_11,0
172,18_12,0
173,18_13,0
174,18_14,0
175,18_15,0
176,18_16,0
177,18_17,0
178,18_18,0
179,18_19,0
180,18_2,0
181,18_20,0
182,18_21,0
183,18_22,0
184,18_23,0
185,18_3,0
186,18_4,0
187,18_5,0
188,18_6,0
189,18_7,0
190,18_8,0
191,18_9,0
