,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,0
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,7
25,12_1,4
26,12_10,9
27,12_11,8
28,12_12,7
29,12_13,6
30,12_14,10
31,12_15,16
32,12_16,10
33,12_17,12
34,12_18,8
35,12_19,8
36,12_2,7
37,12_20,8
38,12_21,11
39,12_22,10
40,12_23,9
41,12_3,3
42,12_4,5
43,12_5,4
44,12_6,13
45,12_7,8
46,12_8,10
47,12_9,6
48,13_0,5
49,13_1,10
50,13_10,9
51,13_11,13
52,13_12,7
53,13_13,8
54,13_14,7
55,13_15,7
56,13_16,9
57,13_17,9
58,13_18,12
59,13_19,14
60,13_2,9
61,13_20,8
62,13_21,8
63,13_22,5
64,13_23,10
65,13_3,2
66,13_4,4
67,13_5,6
68,13_6,13
69,13_7,7
70,13_8,8
71,13_9,5
72,14_0,9
73,14_1,7
74,14_10,7
75,14_11,7
76,14_12,10
77,14_13,6
78,14_14,10
79,14_15,3
80,14_16,13
81,14_17,12
82,14_18,9
83,14_19,10
84,14_2,11
85,14_20,12
86,14_21,10
87,14_22,9
88,14_23,7
89,14_3,2
90,14_4,6
91,14_5,6
92,14_6,8
93,14_7,9
94,14_8,7
95,14_9,10
96,15_0,7
97,15_1,9
98,15_10,9
99,15_11,3
100,15_12,7
101,15_13,10279
102,15_14,15884
103,15_15,6252
104,15_16,2185
105,15_17,1269
106,15_18,1058
107,15_19,1453
108,15_2,7
109,15_20,934
110,15_21,1000
111,15_22,862
112,15_23,838
113,15_3,7
114,15_4,6
115,15_5,12
116,15_6,8
117,15_7,9
118,15_8,13
119,15_9,13
120,16_0,785
121,16_1,816
122,16_10,408
123,16_11,298
124,16_12,65
125,16_13,80
126,16_14,238
127,16_15,356
128,16_16,59
129,16_17,50
130,16_18,64
131,16_19,53
132,16_2,711
133,16_20,61
134,16_21,72
135,16_22,64
136,16_23,75
137,16_3,655
138,16_4,589
139,16_5,769
140,16_6,710
141,16_7,655
142,16_8,624
143,16_9,632
144,17_0,62
145,17_1,63
146,17_10,323
147,17_11,478
148,17_12,350
149,17_13,6
150,17_14,9
151,17_15,6
152,17_16,12
153,17_17,10
154,17_18,7
155,17_19,8
156,17_2,67
157,17_20,8
158,17_21,6
159,17_22,13
160,17_23,10
161,17_3,56
162,17_4,54
163,17_5,49
164,17_6,50
165,17_7,66
166,17_8,47
167,17_9,187
168,18_0,4
169,18_1,6
170,18_10,5
171,18_11,9
172,18_12,12
173,18_13,185
174,18_14,10
175,18_15,16
176,18_16,10
177,18_17,5
178,18_18,9
179,18_19,12
180,18_2,12
181,18_20,6
182,18_21,5
183,18_22,8
184,18_23,11
185,18_3,13
186,18_4,3
187,18_5,3
188,18_6,11
189,18_7,11
190,18_8,4
191,18_9,8
