,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,15
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,154
25,12_1,191
26,12_10,171
27,12_11,171
28,12_12,196
29,12_13,194
30,12_14,174
31,12_15,173
32,12_16,171
33,12_17,174
34,12_18,166
35,12_19,195
36,12_2,202
37,12_20,191
38,12_21,191
39,12_22,191
40,12_23,194
41,12_3,167
42,12_4,185
43,12_5,192
44,12_6,206
45,12_7,179
46,12_8,202
47,12_9,200
48,13_0,186
49,13_1,177
50,13_10,199
51,13_11,180
52,13_12,191
53,13_13,206
54,13_14,189
55,13_15,182
56,13_16,191
57,13_17,203
58,13_18,194
59,13_19,173
60,13_2,181
61,13_20,179
62,13_21,202
63,13_22,171
64,13_23,181
65,13_3,193
66,13_4,182
67,13_5,177
68,13_6,177
69,13_7,186
70,13_8,183
71,13_9,160
72,14_0,193
73,14_1,195
74,14_10,188
75,14_11,175
76,14_12,204
77,14_13,195
78,14_14,184
79,14_15,196
80,14_16,208
81,14_17,217
82,14_18,200
83,14_19,185
84,14_2,198
85,14_20,178
86,14_21,194
87,14_22,188
88,14_23,199
89,14_3,187
90,14_4,194
91,14_5,188
92,14_6,186
93,14_7,181
94,14_8,195
95,14_9,165
96,15_0,195
97,15_1,179
98,15_10,181
99,15_11,171
100,15_12,190
101,15_13,186
102,15_14,196
103,15_15,191
104,15_16,177
105,15_17,177
106,15_18,173
107,15_19,177
108,15_2,196
109,15_20,175
110,15_21,193
111,15_22,168
112,15_23,182
113,15_3,202
114,15_4,162
115,15_5,179
116,15_6,220
117,15_7,166
118,15_8,189
119,15_9,180
120,16_0,148
121,16_1,182
122,16_10,190
123,16_11,197
124,16_12,179
125,16_13,173
126,16_14,166
127,16_15,195
128,16_16,197
129,16_17,178
130,16_18,154
131,16_19,173
132,16_2,217
133,16_20,193
134,16_21,193
135,16_22,160
136,16_23,178
137,16_3,189
138,16_4,173
139,16_5,186
140,16_6,186
141,16_7,188
142,16_8,206
143,16_9,183
144,17_0,198
145,17_1,187
146,17_10,179
147,17_11,182
148,17_12,162
149,17_13,174
150,17_14,180
151,17_15,176
152,17_16,198
153,17_17,190
154,17_18,199
155,17_19,199
156,17_2,220
157,17_20,180
158,17_21,81
159,17_22,12
160,17_23,7
161,17_3,173
162,17_4,161
163,17_5,187
164,17_6,161
165,17_7,191
166,17_8,183
167,17_9,187
168,18_0,9
169,18_1,7
170,18_10,8
171,18_11,11
172,18_12,11
173,18_13,14
174,18_14,19
175,18_15,12
176,18_16,20
177,18_17,10
178,18_18,8
179,18_19,12
180,18_2,19
181,18_20,11
182,18_21,17
183,18_22,12
184,18_23,8
185,18_3,11
186,18_4,8
187,18_5,11
188,18_6,11
189,18_7,9
190,18_8,11
191,18_9,11
